committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,cand_office_state,cand_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,election_type,election_type_full,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C00481200,NATIONAL ASSOCIATION FOR GUN RIGHTS INC PAC,2016,24,201608169022460996,24,1094422,FACEBOOK INC.,,,,1 HACKER WAY,,MENLO PARK,CA,940251452,AUGUST 11-15 ONLINE ADVERTISING,2016-08-10 00:00:00,2016-08-11 00:00:00,247.26,11882.57,,,O,,,S6AZ00019,"MCCAIN, JOHN S",,JOHN,S,MCCAIN,,S,AZ,00,,,,,,,,P2016,,"BACKER, DAN",2016-08-16 00:00:00,,,,,,DAN,,BACKER,SE24.90436,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081720161312290095,4081720161312293947,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608169022460996
C00587022,COURAGEOUS CONSERVATIVES PAC,2016,24,201606039017469857,24,1076067,MOUNTAINTOP MEDIA,,,,P O BOX 297,,RODANTHE,NC,27968,SOCIAL MEDIA BUY,2016-06-03 00:00:00,2016-06-02 00:00:00,125.00,250.00,004,Advertising Expenses ,O,,,S6AZ00019,"MCCAIN, JOHN S",,JOHN S,,MCCAIN,,S,AZ,00,C00587022,,,,,,,P2016,,"EKSTROM, CHRISTOPHER",2016-06-03 00:00:00,,,,,,CHRISTOPHER,,EKSTROM,SE.4675,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4060420161294493189,4060420161294498964,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201606039017469857
C00481200,NATIONAL ASSOCIATION FOR GUN RIGHTS INC PAC,2016,48,201607299021961207,24,1091533,COX  MEDIA,,,,FILE 50470,,LOS ANGELES,CA,90074,TELEVISION ADVERTISING,2016-07-25 00:00:00,2016-08-03 00:00:00,20334.00,77797.36,,,O,,,S6AZ00019,"MCCAIN, JOHN S",,JOHN,S,MCCAIN,,S,AZ,,,,,,,,,P2016,,"WALTER, BARRY JR",2016-07-27 00:00:00,,,,,,BARRY,,WALTER,SE24.90222,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4072920161307306969,4072920161307314258,,,t,,,JR,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201607299021961207
C00587022,COURAGEOUS CONSERVATIVES PAC,2016,24,201607279021939192,24,1091241,"EKSTROM, CHRISTOPHER",CHRISTOPHER,,EKSTROM,25 HIGHLAND PARK VILLAGE,SUITE 100,DALLAS,TX,75205,SOCIAL MEDIA BUY,2016-07-26 00:00:00,2016-07-26 00:00:00,7.46,699.75,004,Advertising Expenses ,O,,,S6AZ00019,"MCCAIN, JOHN S",,JOHN S,,MCCAIN,,S,AZ,00,C00587022,,,,,,,P2016,,"CURTIS, ELIZABETH",2016-07-27 00:00:00,,,,,,ELIZABETH,,CURTIS,SE.4758,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4072720161307161257,4072720161307170271,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201607279021939192
C00587022,COURAGEOUS CONSERVATIVES PAC,2016,24,201607209021667396,24,1089192,"EKSTROM, CHRISTOPHER",CHRISTOPHER,,EKSTROM,25 HIGHLAND PARK VILLAGE,SUITE 100,DALLAS,TX,75205,SOCIAL MEDIA BUY,2016-07-20 00:00:00,2016-07-20 00:00:00,457.26,2207.26,004,Advertising Expenses ,O,,,S6AZ00019,"MCCAIN, JOHN S",,JOHN S,,MCCAIN,,S,AZ,00,C00587022,,,,,,,P2016,,"CURTIS, ELIZABETH",2016-07-20 00:00:00,,,,,,ELIZABETH,,CURTIS,SE.4788,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4072020161306852867,4072020161306860055,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201607209021667396
C00481200,NATIONAL ASSOCIATION FOR GUN RIGHTS INC PAC,2016,48,201607289021957813,24,1091371,CDR COMMUNICATIONS INC.,,,,9310B OLD KEENE MILL RD.,,BURKE,VA,220154281,TELEVISION ADVERTISING,2016-07-26 00:00:00,2016-08-03 00:00:00,3934.00,72913.87,,,O,,,S6AZ00019,"MCCAIN, JOHN S",,JOHN,S,MCCAIN,,S,AZ,,,,,,,,,P2016,,"WALTER, BARRY JR",2016-07-27 00:00:00,,,,,,BARRY,,WALTER,SE24.90223,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4080220161307742933,4080220161307749236,,,t,,,JR,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201607289021957813
C00481200,NATIONAL ASSOCIATION FOR GUN RIGHTS INC PAC,2016,48,201607289021957814,24,1091371,KZAZ-TV,,,,511 WEST ADAMS ST,,PHOENIX,AZ,85003,TELEVISION ADVERTISING,2016-07-26 00:00:00,2016-08-03 00:00:00,12813.75,72913.87,,,O,,,S6AZ00019,"MCCAIN, JOHN S",,JOHN,S,MCCAIN,,S,AZ,,,,,,,,,P2016,,"WALTER, BARRY JR",2016-07-27 00:00:00,,,,,,BARRY,,WALTER,SE24.90221,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4080220161307742933,4080220161307749240,,,t,,,JR,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201607289021957814
C00481200,NATIONAL ASSOCIATION FOR GUN RIGHTS INC PAC,2016,48,201607289021957814,24,1091371,THE PRINTING EXPRESS,,,,21 WAREHOUSE RD,,HARRISONBURG,VA,228019704,POSTAGE,2016-07-25 00:00:00,2016-07-28 00:00:00,14297.16,72913.87,,,O,,,S6AZ00019,"MCCAIN, JOHN S",,JOHN,S,MCCAIN,,S,AZ,,,,,,,,,P2016,,"WALTER, BARRY JR",2016-07-27 00:00:00,,,,,,BARRY,,WALTER,SE24.90219,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4080220161307742933,4080220161307749242,,,t,,,JR,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201607289021957814
C00481200,NATIONAL ASSOCIATION FOR GUN RIGHTS INC PAC,2016,24,201608169022460996,24,1094422,FACEBOOK INC.,,,,1 HACKER WAY,,MENLO PARK,CA,940251452,ESTIMATED AUGUST 16-28 ONLINE ADVERTISING,2016-08-16 00:00:00,2016-08-16 00:00:00,752.74,11882.57,,,O,,,S6AZ00019,"MCCAIN, JOHN S",,JOHN,S,MCCAIN,,S,AZ,00,,,,,,,,P2016,,"BACKER, DAN",2016-08-16 00:00:00,,,,,,DAN,,BACKER,SE24.90418,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081720161312290095,4081720161312293949,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608169022460996
C00481200,NATIONAL ASSOCIATION FOR GUN RIGHTS INC PAC,2016,24,201608129022242804,24,1093809,IRONWOOD A RR DONNELLEY COMPANY,,,,14100 LEAR BOULEVARD,SUITE 130,RENO,NV,89506,POSTCARD MAILER,2016-08-15 00:00:00,2016-08-15 00:00:00,5270.68,10641.37,,,O,,,S6AZ00019,"MCCAIN, JOHN S.",,JOHN,S.,MCCAIN,,S,AZ,00,,,,,,,,P2016,,"BACKER, DAN",2016-08-12 00:00:00,,,,,,DAN,,BACKER,SE24.90385,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081220161312075385,4081220161312079582,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608129022242804
