committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,cand_office_state,cand_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,election_type,election_type_full,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C90011156,WORKING AMERICA,2016,24,201610289037004944,,1120230,KATHERINE  GREGG,,,,925 W HURON ST,,CHICAGO,IL,606425780,,2016-10-27 00:00:00,,57.00,98382.19,,,O,,,S0IL00261,"KIRK, MARK",,MARK,,KIRK,,S,IL,00,,,,,,,,G2016,GENERAL,,,,,,,,,,,VN7CZA6K715,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4102820161345572255,4102820161345573864,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201610289037004944
C90011156,WORKING AMERICA,2016,24,201610289037004919,,1120230,IKEA JOHNSON,,,,6737 S BELL AVE,,CHICAGO,IL,606362524,,2016-10-27 00:00:00,,104.02,98382.19,,,O,,,S0IL00261,"KIRK, MARK",,MARK,,KIRK,,S,IL,00,,,,,,,,G2016,GENERAL,,,,,,,,,,,VN7CZA6K5C8,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4102820161345572255,4102820161345573790,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201610289037004919
C00457291,THE CONSERVATIVE STRIKEFORCE,2016,24,201603019009632304,24,1052823,ACTIVE ENGAGEMENT,,,,44084 RIVERSIDE PARKWAY,SUITE 350,LANSDOWNE,VA,20176,VOTER CONTACT EMAIL,2016-02-29 00:00:00,2016-02-29 00:00:00,1100.00,1100.00,004,Advertising Expenses ,S,,,S0IL00261,"KIRK, MARK STEVEN",,MARK STEVEN,,KIRK,,S,IL,00,C00457291,,,,,,,P2016,,"MACKENZIE, SCOTT B",2016-03-01 00:00:00,,,,,,SCOTT B,,MACKENZIE,SE.4159,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4030120161273199551,4030120161273200092,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201603019009632304
C00004036,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),2016,48,201607039020111626,24,1080778,SEIU GENERAL FUND,,,,1800 MASSACHUSETTS AVE NW,,WASHINGTON,DC,20036,EST. COST FOR SALARY & OTHER CANVASS RELATED EXPENSES FROM 7/1-7/31/16,2016-07-01 00:00:00,2016-07-01 00:00:00,2148.31,2148.31,001,Administrative/Salary/Overhead Expenses ,S,,,S6IL00292,"DUCKWORTH, TAMMY",,TAMMY,,DUCKWORTH,,S,IL,,C00574889,,,,,,,G2016,,"HUDSON, GERALD",2016-07-03 00:00:00,,,,,,GERALD,,HUDSON,D365957,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4070420161302650614,4070420161302650721,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201607039020111626
C00572743,INDEPENDENT VOICE FOR ILLINOIS PAC,2016,48,201608129022238833,24,1093660,"STRATEGIC MEDIA SERVICES, INC.",,,,1911 N FT MYER DR,STE 400,ARLINGTON,VA,22209,MEDIA PLACEMENT / MEDIA PRODUCTION,2016-08-11 00:00:00,2016-08-11 00:00:00,190550.50,799129.50,,,O,,,S6IL00292,"DUCKWORTH, L TAMMY",,L TAMMY,,DUCKWORTH,,S,IL,,C00572743,,,,,,,G2016,,"MERLAU, JO",2016-08-12 00:00:00,,,,,,JO,,MERLAU,SE.4280,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081220161312075359,4081220161312079478,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608129022238833
C00547349,NEXTGEN CLIMATE ACTION COMMITTEE,2016,48,201608199022589647,24,1095946,BULLY PULPIT INTERACTIVE LLC,,,,1140 CONNECTICUT AVE NW,STE 800,WASHINGTON,DC,200364010,RADIO ADVERTISING - ESTIMATE,2016-08-17 00:00:00,2016-08-17 00:00:00,277.17,277.17,,,O,,,S0IL00261,"KIRK, MARK STEVEN",,MARK STEVEN,,KIRK,,S,IL,,,,,,,,,G2016,,"COPELAND, RITA",2016-08-19 00:00:00,,,,,,RITA,,COPELAND,VNTPK9TC2E9,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081920161313050010,4081920161313057136,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608199022589647
C00547349,NEXTGEN CLIMATE ACTION COMMITTEE,2016,48,201608269023755229,24,1097193,BULLY PULPIT INTERACTIVE LLC,,,,1140 CONNECTICUT AVE NW,STE 800,WASHINGTON,DC,200364010,RADIO ADVERTISING - ESTIMATE,2016-08-23 00:00:00,2016-08-23 00:00:00,684.78,961.95,,,O,,,S0IL00261,"KIRK, MARK STEVEN",,MARK STEVEN,,KIRK,,S,IL,,,,,,,,,G2016,,"COPELAND, RITA",2016-08-26 00:00:00,,,,,,RITA,,COPELAND,VNTPK9TCH52,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4082720161315979129,4082720161315979220,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608269023755229
C00572743,INDEPENDENT VOICE FOR ILLINOIS PAC,2016,48,201607319022161059,24,1091734,"STRATEGIC MEDIA SERVICES, INC.",,,,1911 N FT MYER DR,STE 400,ARLINGTON,VA,22209,MEDIA PRODUCTION / MEDIA PLACEMENT,2016-07-28 00:00:00,2016-07-29 00:00:00,608579.00,608579.00,,,O,,,S6IL00292,"DUCKWORTH, L TAMMY",,L TAMMY,,DUCKWORTH,,S,IL,,C00572743,,,,,,,G2016,,"MERLAU, JO",2016-07-31 00:00:00,,,,,,JO,,MERLAU,SE.4277,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4080120161307391987,4080120161307399844,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201607319022161059
C00004036,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),2016,48,201608039022174980,24,1092338,SEIU GENERAL FUND,,,,1800 MASSACHUSETTS AVE NW,,WASHINGTON,DC,20036,ESTIMATED COST:  SALARY & OTHER CANVASS-RELATED EXPENSES FROM 8/1-8/31,2016-08-01 00:00:00,2016-08-01 00:00:00,1195.28,3343.59,001,Administrative/Salary/Overhead Expenses ,S,,,S6IL00292,"DUCKWORTH, TAMMY",,TAMMY,,DUCKWORTH,,S,IL,,C00574889,,,,,,,G2016,,"HUDSON, GERALD",2016-08-03 00:00:00,,,,,,GERALD,,HUDSON,D366772,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4080420161308535219,4080420161308541237,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608039022174980
C00572743,INDEPENDENT VOICE FOR ILLINOIS PAC,2016,48,201608199022543389,24,1095419,"STRATEGIC MEDIA SERVICES, INC.",,,,1911 N FT MYER DR,STE 400,ARLINGTON,VA,22209,MEDIA PLACEMENT,2016-08-18 00:00:00,2016-08-19 00:00:00,128160.00,927289.50,,,O,,,S6IL00292,"DUCKWORTH, L TAMMY",,L TAMMY,,DUCKWORTH,,S,IL,,C00572743,,,,,,,G2016,,"MERLAU, JO",2016-08-19 00:00:00,,,,,,JO,,MERLAU,SE.4283,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081920161313049992,4081920161313056956,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608199022543389
