committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,cand_office_state,cand_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,election_type,election_type_full,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C90013285,AMERICANS FOR PROSPERITY,2016,48,201606199018459714,,1078545,AMERICANS FOR PROSPERITY,,,,1310 N COURTHOUSE RD,STE 700,ARLINGTON,VA,22201,,2016-06-17 00:00:00,,13805.57,14368.77,001,Administrative/Salary/Overhead Expenses ,O,,,S8WI00026,"FEINGOLD, RUSSELL DANA",,RUSSELL DANA,,FEINGOLD,,S,WI,,,,,,,,,G2016,GENERAL,,,,,,,,,,,F57.4363,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4062020161299828761,4062020161299829104,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201606199018459714
C90013285,AMERICANS FOR PROSPERITY,2016,48,201606199018459721,,1078548,INNOVATIVE ADVERTISING,,,,4250 HIGHWAY 22,SUITE 7,MANDEVILLE,LA,70471,,2016-06-17 00:00:00,,2487.00,34530.49,004,Advertising Expenses ,O,,,S6PA00266,"MCGINTY, KATHLEEN ALANA",,KATHLEEN ALANA,,MCGINTY,,S,PA,,,,,,,,,G2016,GENERAL,,,,,,,,,,,F57.4389,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4062020161299828764,4062020161299829114,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201606199018459721
C90013285,AMERICANS FOR PROSPERITY,2016,48,201606199018459723,,1078549,AMERICANS FOR PROSPERITY,,,,1310 N COURTHOUSE RD,STE 700,ARLINGTON,VA,22201,,2016-06-18 00:00:00,,18012.95,53669.84,004,Advertising Expenses ,O,,,S6PA00266,"MCGINTY, KATHLEEN ALANA",,KATHLEEN ALANA,,MCGINTY,,S,PA,,,,,,,,,G2016,GENERAL,,,,,,,,,,,F57.4396,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4062020161299828765,4062020161299829116,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201606199018459723
C90013285,AMERICANS FOR PROSPERITY,2016,48,201606199018459723,,1078549,AMERICANS FOR PROSPERITY,,,,1310 N COURTHOUSE RD,STE 700,ARLINGTON,VA,22201,,2016-06-18 00:00:00,,13175.00,66844.84,004,Advertising Expenses ,O,,,S6PA00266,"MCGINTY, KATHLEEN ALANA",,KATHLEEN ALANA,,MCGINTY,,S,PA,,,,,,,,,G2016,GENERAL,,,,,,,,,,,F57.4397,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4062020161299828765,4062020161299829117,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201606199018459723
C90013285,AMERICANS FOR PROSPERITY,2016,48,201606199018459714,,1078545,AJILON PROFESSIONAL STAFFING,,,,DEPT CH 14031,,PALATINE,IL,60055,,2016-06-17 00:00:00,,563.20,563.20,004,Advertising Expenses ,O,,,S8WI00026,"FEINGOLD, RUSSELL DANA",,RUSSELL DANA,,FEINGOLD,,S,WI,,,,,,,,,G2016,GENERAL,,,,,,,,,,,F57.4362,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4062020161299828761,4062020161299829103,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201606199018459714
C90013285,AMERICANS FOR PROSPERITY,2016,48,201606199018459714,,1078545,AMERICANS FOR PROSPERITY,,,,1310 N COURTHOUSE RD,STE 700,ARLINGTON,VA,22201,,2016-06-17 00:00:00,,12025.00,26393.77,004,Advertising Expenses ,O,,,S8WI00026,"FEINGOLD, RUSSELL DANA",,RUSSELL DANA,,FEINGOLD,,S,WI,,,,,,,,,G2016,GENERAL,,,,,,,,,,,F57.4364,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4062020161299828761,4062020161299829105,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201606199018459714
C90013285,AMERICANS FOR PROSPERITY,2016,48,201606199018459715,,1078545,CORNERSTONE STAFFING,,,,PO BOX 909,,GRAPEVINE,TX,76099,,2016-06-17 00:00:00,,563.20,26956.97,004,Advertising Expenses ,O,,,S8WI00026,"FEINGOLD, RUSSELL DANA",,RUSSELL DANA,,FEINGOLD,,S,WI,,,,,,,,,G2016,GENERAL,,,,,,,,,,,F57.4370,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4062020161299828761,4062020161299829106,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201606199018459715
C90013285,AMERICANS FOR PROSPERITY,2016,48,201606199018459719,,1078547,AMERICANS FOR PROSPERITY,,,,1310 N COURTHOUSE RD,STE 700,ARLINGTON,VA,22201,,2016-06-16 00:00:00,,784.23,784.23,001,Administrative/Salary/Overhead Expenses ,O,,,S6PA00266,"MCGINTY, KATHLEEN ALANA",,KATHLEEN ALANA,,MCGINTY,,S,PA,,,,,,,,,G2016,GENERAL,,,,,,,,,,,F57.4381,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4062020161299828763,4062020161299829110,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201606199018459719
C90013285,AMERICANS FOR PROSPERITY,2016,48,201607029020111443,,1080755,AJILON PROFESSIONAL STAFFING,,,,DEPT CH 14031,,PALATINE,IL,60055,,2016-06-29 00:00:00,,1126.40,69097.64,004,Advertising Expenses ,O,,,S6PA00266,"MCGINTY, KATHLEEN ALANA",,KATHLEEN ALANA,,MCGINTY,,S,PA,,,,,,,,,G2016,GENERAL,,,,,,,,,,,F57.4446,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4070220161302650287,4070220161302650316,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201607029020111443
C90013285,AMERICANS FOR PROSPERITY,2016,48,201607029020111443,,1080755,AMERICANS FOR PROSPERITY,,,,1310 N COURTHOUSE RD,STE 700,ARLINGTON,VA,22201,,2016-06-29 00:00:00,,940.00,73450.33,001,Administrative/Salary/Overhead Expenses ,O,,,S6PA00266,"MCGINTY, KATHLEEN ALANA",,KATHLEEN ALANA,,MCGINTY,,S,PA,,,,,,,,,G2016,GENERAL,,,,,,,,,,,F57.4448,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4070220161302650287,4070220161302650318,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201607029020111443
