committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,cand_office_state,cand_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,election_type,election_type_full,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C00540443,AMERICANS FOR RESPONSIBLE SOLUTIONS-PAC,2016,48,201605269017302419,24,1074748,THE CAMPAIGN GROUP INC.,,,,1600 LOCUST STREET,,PHILADELPHIA,PA,19103,MEDIA BUY- TV,2016-05-24 00:00:00,2016-05-25 00:00:00,189590.00,281540.00,,,O,,,S0NH00235,"AYOTTE, KELLY",,KELLY,,AYOTTE,,S,NH,,C00464297,,,,,,,P2016,,"COLEMAN, KIMBERLY ASST TREAS",2016-05-26 00:00:00,,,,,,KIMBERLY,,COLEMAN,D588999,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4052620161293312932,4052620161293318044,,,t,,,ASST TREAS,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201605269017302419
C00540443,AMERICANS FOR RESPONSIBLE SOLUTIONS-PAC,2016,48,201605269017302419,24,1074748,THE CAMPAIGN GROUP INC.,,,,1600 LOCUST STREET,,PHILADELPHIA,PA,19103,MEDIA PRODUCTION,2016-05-25 00:00:00,2016-05-25 00:00:00,9200.00,281540.00,,,O,,,S0NH00235,"AYOTTE, KELLY",,KELLY,,AYOTTE,,S,NH,,C00464297,,,,,,,P2016,,"COLEMAN, KIMBERLY ASST TREAS",2016-05-26 00:00:00,,,,,,KIMBERLY,,COLEMAN,D589000,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4052620161293312932,4052620161293318046,,,t,,,ASST TREAS,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201605269017302419
C00540443,AMERICANS FOR RESPONSIBLE SOLUTIONS-PAC,2016,48,201607139020442332,24,1083826,THE CAMPAIGN GROUP INC.,,,,1600 LOCUST ST,,PHILADELPHIA,PA,191036305,MEDIA BUY-TV,2016-07-11 00:00:00,2016-07-12 00:00:00,499515.00,1338393.00,,,O,,,S0NH00235,"AYOTTE, KELLY",,KELLY,,AYOTTE,,S,NH,,C00464297,,,,,,,P2016,,"COLEMAN, KIMBERLY ASST TREAS",2016-07-13 00:00:00,,,,,,KIMBERLY,,COLEMAN,D591324,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4071320161306550099,4071320161306556345,,,t,,,ASST TREAS,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201607139020442332
C00540443,AMERICANS FOR RESPONSIBLE SOLUTIONS-PAC,2016,48,201607139020442332,24,1083826,THE CAMPAIGN GROUP INC.,,,,1600 LOCUST ST,,PHILADELPHIA,PA,191036305,MEDIA PRODUCTION ESTIMATE,2016-07-12 00:00:00,2016-07-12 00:00:00,4600.00,1338393.00,,,O,,,S0NH00235,"AYOTTE, KELLY",,KELLY,,AYOTTE,,S,NH,,C00464297,,,,,,,P2016,,"COLEMAN, KIMBERLY ASST TREAS",2016-07-13 00:00:00,,,,,,KIMBERLY,,COLEMAN,D591457,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4071320161306550099,4071320161306556347,,,t,,,ASST TREAS,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201607139020442332
C00540443,AMERICANS FOR RESPONSIBLE SOLUTIONS-PAC,2016,48,201606019017457679,24,1075548,RISING TIDE INTERACTIVE,,,,1250 H ST NW,STE 200,WASHINGTON,DC,20005,MEDIA PRODUCTION,2016-05-24 00:00:00,2016-05-25 00:00:00,750.00,269429.00,,,O,,,S0NH00235,"AYOTTE, KELLY",,KELLY,,AYOTTE,,S,NH,,C00464297,,,,,,,P2016,,"COLEMAN, KIMBERLY ASST TREAS",2016-06-01 00:00:00,,,,,,KIMBERLY,,COLEMAN,D588997,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4060120161293553567,4060120161293558842,,,t,,,ASST TREAS,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201606019017457679
C00540443,AMERICANS FOR RESPONSIBLE SOLUTIONS-PAC,2016,48,201605269017302418,24,1074748,RISING TIDE INTERACTIVE,,,,1250 H ST NW,STE 200,WASHINGTON,DC,20005,MEDIA BUY-DIGITAL,2016-05-24 00:00:00,2016-05-25 00:00:00,82000.00,281540.00,,,O,,,S0NH00235,"AYOTTE, KELLY",,KELLY,,AYOTTE,,S,NH,,C00464297,,,,,,,P2016,,"COLEMAN, KIMBERLY ASST TREAS",2016-05-26 00:00:00,,,,,,KIMBERLY,,COLEMAN,D588998,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4052620161293312932,4052620161293318042,,,t,,,ASST TREAS,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201605269017302418
C00540443,AMERICANS FOR RESPONSIBLE SOLUTIONS-PAC,2016,24,201609099030756493,24,1098375,RISING TIDE INTERACTIVE,,,,1250 H ST NW,STE 200,WASHINGTON,DC,200053952,MEDIA BUY-DIGITAL,2016-09-09 00:00:00,2016-09-10 00:00:00,92527.17,1506294.17,,,O,,,S0NH00235,"AYOTTE, KELLY",,KELLY,,AYOTTE,,S,NH,,C00464297,,,,,,,P2016,,"COLEMAN, KIMBERLY ASST TREAS",2016-09-09 00:00:00,,,,,,KIMBERLY,,COLEMAN,D593965,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4090920161316955875,4090920161316964961,,,t,,,ASST TREAS,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609099030756493
C00540443,AMERICANS FOR RESPONSIBLE SOLUTIONS-PAC,2016,48,201606089017490825,24,1076672,RISING TIDE INTERACTIVE,,,,1250 H ST NW,STE 200,WASHINGTON,DC,20005,MEDIA PRODUCTION,2016-06-07 00:00:00,2016-06-01 00:00:00,1365.00,834278.00,,,O,,,S0NH00235,"AYOTTE, KELLY",,KELLY,,AYOTTE,,S,NH,,C00464297,,,,,,,P2016,,"COLEMAN, KIMBERLY ASST TREAS",2016-06-08 00:00:00,,,,,,KIMBERLY,,COLEMAN,D589839,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4060820161294915657,4060820161294921944,,,t,,,ASST TREAS,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201606089017490825
C00540443,AMERICANS FOR RESPONSIBLE SOLUTIONS-PAC,2016,48,201607159020589594,24,1086586,RISING TIDE INTERACTIVE,,,,1250 H ST NW,STE 200,WASHINGTON,DC,200053952,MEDIA BUY-DIGITAL,2016-07-15 00:00:00,2016-07-15 00:00:00,70874.00,1409767.00,,,O,,,S0NH00235,"AYOTTE, KELLY",,KELLY,,AYOTTE,,S,NH,,C00464297,,,,,,,P2016,,"COLEMAN, KIMBERLY ASST TREAS",2016-07-15 00:00:00,,,,,,KIMBERLY,,COLEMAN,D591323,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4071520161306645893,4071520161306654847,,,t,,,ASST TREAS,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201607159020589594
C00540443,AMERICANS FOR RESPONSIBLE SOLUTIONS-PAC,2016,24,201609099030756493,24,1098375,RISING TIDE INTERACTIVE,,,,1250 H ST NW,STE 200,WASHINGTON,DC,200053952,MEDIA PRODUCTION ESTIMATE,2016-09-09 00:00:00,2016-09-10 00:00:00,4000.00,1506294.17,,,O,,,S0NH00235,"AYOTTE, KELLY",,KELLY,,AYOTTE,,S,NH,,C00464297,,,,,,,P2016,,"COLEMAN, KIMBERLY ASST TREAS",2016-09-09 00:00:00,,,,,,KIMBERLY,,COLEMAN,D593966,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4090920161316955875,4090920161316964963,,,t,,,ASST TREAS,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609099030756493
