committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,cand_office_state,cand_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,election_type,election_type_full,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C90013145,US CHAMBER OF COMMERCE,2015,48,201507169000250804,,1016009,"GO BIG MEDIA, INC.",,,,"718 7TH STREET NW, 2ND FLOOR",,WASHINGTON,DC,20001,,2015-07-16 00:00:00,,50000.00,550150.00,004,Advertising Expenses ,S,,,,"KIRK, MARK",,MARK,,KIRK,,S,IL,,,,,,,,,P2016,PRIMARY,,,,,,,,,,,57578309,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4071620151247149948,4071620151247150327,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201507169000250804
C90013145,US CHAMBER OF COMMERCE,2015,48,201507239000410838,,1017774,REVOLUTION AGENCY,,,,1020 PRINCESS STREET,,ALEXANDRIA,VA,22314,,2015-07-22 00:00:00,,350000.00,350150.00,004,Advertising Expenses ,S,,,,"AYOTTE, KELLY",,KELLY,,AYOTTE,,S,NH,,,,,,,,,P2016,PRIMARY,,,,,,,,,,,57578617,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4072320151247715865,4072320151247715867,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201507239000410838
C90013145,US CHAMBER OF COMMERCE,2015,48,201507239000410838,,1017774,"GO BIG MEDIA, INC.",,,,"718 7TH STREET NW, 2ND FLOOR",,WASHINGTON,DC,20001,,2015-07-22 00:00:00,,50000.00,350150.00,004,Advertising Expenses ,S,,,,"MCCAIN, JOHN",,JOHN,,MCCAIN,,S,AZ,,,,,,,,,P2016,PRIMARY,,,,,,,,,,,57578618,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4072320151247715865,4072320151247715868,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201507239000410838
C90013145,US CHAMBER OF COMMERCE,2015,48,201507169000250803,,1016009,SOMETHING ELSE STRATEGIES,,,,212 GOLDEN WILLOW CT.,,EASLEY,SC,29642,,2015-07-15 00:00:00,,400000.00,400150.00,004,Advertising Expenses ,S,,,,"HECK, JOSEPH",,JOSEPH,,HECK,,S,NV,,,,,,,,,P2016,PRIMARY,,,,,,,,,,,57578307,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4071620151247149948,4071620151247150323,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201507169000250803
C90013145,US CHAMBER OF COMMERCE,2015,48,201507169000250803,,1016009,INTEGRATED WEB STRATEGIES,,,,5330 N. 12TH ST.,,PHOENIX,AZ,85014,,2015-07-16 00:00:00,,150.00,550150.00,004,Advertising Expenses ,S,,,,"KIRK, MARK",,MARK,,KIRK,,S,IL,,,,,,,,,P2016,PRIMARY,,,,,,,,,,,57578311,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4071620151247149948,4071620151247150325,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201507169000250803
C90013145,US CHAMBER OF COMMERCE,2015,24,15951233042,,1006070,REVOLUTION AGENCY,,,,1020 PRINCESS STREET,,ALEXANDRIA,VA,22314,,2015-04-28 00:00:00,,4008.00,129427.85,004,Advertising Expenses ,S,,,,"DONOVAN, DAN",,DAN,,DONOVAN,,H,NY,11,,,,,,,,S2015,SPECIAL,,,,,,,,,,,57572803,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4042920151242338941,4042920151242338958,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?15951233042
C90013145,US CHAMBER OF COMMERCE,2015,24,15951233043,,1006070,INTEGRATED WEB STRATEGIES,,,,5330 N. 12TH ST.,,PHOENIX,AZ,85014,,2015-04-28 00:00:00,,150.00,129427.85,004,Advertising Expenses ,S,,,,"DONOVAN, DAN",,DAN,,DONOVAN,,H,NY,11,,,,,,,,S2015,SPECIAL,,,,,,,,,,,57572805,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4042920151242338941,4042920151242338962,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?15951233043
C90013145,US CHAMBER OF COMMERCE,2015,24,201507019000051684,,1012065,REVOLUTION AGENCY,,,,1020 PRINCESS STREET,,ALEXANDRIA,VA,22314,,2015-06-30 00:00:00,,100000.00,100150.00,004,Advertising Expenses ,S,,,,"LAHOOD, DARIN",,DARIN,,LAHOOD,,H,IL,18,,,,,,,,O2015,,,,,,,,,,,,57577246,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4070220151245974281,4070220151245974398,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201507019000051684
C90013145,US CHAMBER OF COMMERCE,2015,48,201507239000410838,,1017774,SOMETHING ELSE STRATEGIES,,,,212 GOLDEN WILLOW CT.,,EASLEY,SC,29642,,2015-07-21 00:00:00,,300000.00,350150.00,004,Advertising Expenses ,S,,,,"MCCAIN, JOHN",,JOHN,,MCCAIN,,S,AZ,,,,,,,,,P2016,PRIMARY,,,,,,,,,,,57578616,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4072320151247715865,4072320151247715866,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201507239000410838
C90013145,US CHAMBER OF COMMERCE,2015,48,201507239000410839,,1017774,INTEGRATED WEB STRATEGIES,,,,5330 N. 12TH ST.,,PHOENIX,AZ,85014,,2015-07-21 00:00:00,,150.00,350150.00,004,Advertising Expenses ,S,,,,"MCCAIN, JOHN",,JOHN,,MCCAIN,,S,AZ,,,,,,,,,P2016,PRIMARY,,,,,,,,,,,57578619,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4072320151247715865,4072320151247715869,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201507239000410839
C90013145,US CHAMBER OF COMMERCE,2015,48,201507239000410839,,1017774,INTEGRATED WEB STRATEGIES,,,,5330 N. 12TH ST.,,PHOENIX,AZ,85014,,2015-07-22 00:00:00,,150.00,350150.00,004,Advertising Expenses ,S,,,,"AYOTTE, KELLY",,KELLY,,AYOTTE,,S,NH,,,,,,,,,P2016,PRIMARY,,,,,,,,,,,57578620,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4072320151247715865,4072320151247715870,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201507239000410839
C90013145,US CHAMBER OF COMMERCE,2016,24,201602189008489514,,1050424,REVOLUTION AGENCY,,,,1020 PRINCESS STREET,,ALEXANDRIA,VA,22314,INDEPENDENT EXPENDITURE FOR,2016-02-17 00:00:00,,250000.00,250000.00,004,Advertising Expenses ,S,,,,"BYRNE, BRADLEY",,BRADLEY,,BYRNE,,H,AL,01,,,,,,,,P2016,PRIMARY,,,,,,,,,,,57594871,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4021820161272483838,4021920161272528836,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201602189008489514
C90013145,US CHAMBER OF COMMERCE,2016,48,201604279015360708,,1070355,GLASS HOUSE STRATEGY,,,,3941 LEGACY DRIVE #204-PMBA212,,PLANO,TX,75024,,2016-04-25 00:00:00,,750000.00,750150.00,004,Advertising Expenses ,S,,,,"HECK, JOSEPH",,JOSEPH,,HECK,,S,NV,,,,,,,,,P2016,PRIMARY,,,,,,,,,,,57600117,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4042820161284329431,4042820161284329540,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201604279015360708
C90013145,US CHAMBER OF COMMERCE,2016,48,201604279015360709,,1070355,MNI TARGETED MEDIA INC.,,,,225 HIGH RIDGE ROAD EAST BUILDING,,STAMFORD,CT,06905,,2016-04-27 00:00:00,,5000.00,755150.00,004,Advertising Expenses ,S,,,,"TOOMEY, PAT",,PAT,,TOOMEY,,S,PA,,,,,,,,,G2016,GENERAL,,,,,,,,,,,57600150,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4042820161284329431,4042820161284329543,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201604279015360709
C90013145,US CHAMBER OF COMMERCE,2016,24,201605069015391191,,1071152,PHONE2ACTION,,,,"718 7TH STREET NW, 2ND FLOOR",,WASHINGTON,DC,20001,INDEPENDENT EXPENDITURE FOR,2016-05-06 00:00:00,,150.00,100150.00,004,Advertising Expenses ,S,,,,"COMER, JAMES",,JAMES,,COMER,,H,KY,01,,,,,,,,P2016,PRIMARY,,,,,,,,,,,57600711,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4050620161291477511,4050920161292441462,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201605069015391191
C90013145,US CHAMBER OF COMMERCE,2016,24,201602189008489514,,1050424,SOMETHING ELSE STRATEGIES,,,,212 GOLDEN WILLOW CT.,,EASLEY,SC,29642,INDEPENDENT EXPENDITURE FOR,2016-02-17 00:00:00,,250000.00,250000.00,004,Advertising Expenses ,S,,,,"ROBY, MARTHA",,MARTHA,,ROBY,,H,AL,02,,,,,,,,P2016,PRIMARY,,,,,,,,,,,57594870,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4021820161272483838,4021920161272528835,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201602189008489514
C90013145,US CHAMBER OF COMMERCE,2016,48,201603309012198654,,1057696,REDEDGE,,,,2300 CLARENDON BLVD #901,,ARLINGTON,VA,22201,INDEPENDENT EXPENDITURE FOR,2016-03-28 00:00:00,,150.00,1000150.00,004,Advertising Expenses ,S,,,,"YOUNG, TODD",,TODD,,YOUNG,,S,IN,,,,,,,,,P2016,PRIMARY,,,,,,,,,,,57597944,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4033020161281911052,4033120161281926183,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201603309012198654
C90013145,US CHAMBER OF COMMERCE,2016,48,201605279017316845,,1075052,REDEDGE,,,,2300 CLARENDON BLVD #901,,ARLINGTON,VA,22201,,2016-05-25 00:00:00,,25000.00,750300.00,004,Advertising Expenses ,S,,,,"JOHNSON, RON",,RON,,JOHNSON,,S,WI,,,,,,,,,P2016,PRIMARY,,,,,,,,,,,57602635,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4052720161293508185,4052720161293508306,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201605279017316845
C90013145,US CHAMBER OF COMMERCE,2016,48,201605279017316846,,1075052,R STREET FILMS,,,,1626 BELLE VIEW BLVD. SUITE 7496,,ALEXANDRIA,VA,22307,,2016-05-25 00:00:00,,300000.00,300150.00,004,Advertising Expenses ,O,,,,"KIRKPATRICK, ANN",,ANN,,KIRKPATRICK,,S,AZ,,,,,,,,,P2016,PRIMARY,,,,,,,,,,,57602737,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4052720161293508185,4052720161293508310,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201605279017316846
C90013145,US CHAMBER OF COMMERCE,2016,48,201604279015360708,,1070355,SOMETHING ELSE STRATEGIES,,,,212 GOLDEN WILLOW CT.,,EASLEY,SC,29642,,2016-04-27 00:00:00,,750000.00,755150.00,004,Advertising Expenses ,S,,,,"TOOMEY, PAT",,PAT,,TOOMEY,,S,PA,,,,,,,,,G2016,GENERAL,,,,,,,,,,,57600149,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4042820161284329431,4042820161284329542,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201604279015360708
C90013145,US CHAMBER OF COMMERCE,2016,48,201604279015360709,,1070355,REDEDGE,,,,2300 CLARENDON BLVD #901,,ARLINGTON,VA,22201,,2016-04-27 00:00:00,,150.00,755150.00,004,Advertising Expenses ,S,,,,"TOOMEY, PAT",,PAT,,TOOMEY,,S,PA,,,,,,,,,G2016,GENERAL,,,,,,,,,,,57600151,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4042820161284329431,4042820161284329544,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201604279015360709
C90013145,US CHAMBER OF COMMERCE,2016,48,201605209015949704,,1073868,REVOLUTION AGENCY,,,,1020 PRINCESS STREET,,ALEXANDRIA,VA,22314,INDEPENDENT EXPENDITURE AGAINST,2016-05-20 00:00:00,,574362.50,1899175.00,004,Advertising Expenses ,O,,,,"STRICKLAND, TED",,TED,,STRICKLAND,,S,OH,,,,,,,,,G2016,GENERAL,,,,,,,,,,,57602211,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4052020161292973955,4052320161293042354,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201605209015949704
C90013145,US CHAMBER OF COMMERCE,2016,48,201605279017316846,,1075052,PHONE2ACTION,,,,"718 7TH STREET NW, 2ND FLOOR",,WASHINGTON,DC,20001,,2016-05-25 00:00:00,,150.00,300150.00,004,Advertising Expenses ,O,,,,"KIRKPATRICK, ANN",,ANN,,KIRKPATRICK,,S,AZ,,,,,,,,,P2016,PRIMARY,,,,,,,,,,,57602738,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4052720161293508185,4052720161293508311,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201605279017316846
C90013145,US CHAMBER OF COMMERCE,2016,24,201606019017457939,,1075583,REVOLUTION AGENCY,,,,1020 PRINCESS STREET,,ALEXANDRIA,VA,22314,,2016-05-31 00:00:00,,665587.00,2250074.00,004,Advertising Expenses ,S,,,,"HECK, JOSEPH",,JOSEPH,,HECK,,S,NV,,,,,,,,,P2016,PRIMARY,,,,,,,,,,,57602844,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4060120161293553613,4060120161293553713,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201606019017457939
C90013145,US CHAMBER OF COMMERCE,2016,48,201605209015949703,,1073868,SOMETHING ELSE STRATEGIES,,,,212 GOLDEN WILLOW CT.,,EASLEY,SC,29642,INDEPENDENT EXPENDITURE FOR,2016-05-20 00:00:00,,350000.00,700000.00,004,Advertising Expenses ,S,,,,"JOHNSON, RON",,RON,,JOHNSON,,S,WI,,,,,,,,,P2016,PRIMARY,,,,,,,,,,,57602219,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4052020161292973955,4052320161293042350,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201605209015949703
C90013145,US CHAMBER OF COMMERCE,2016,48,201605209015949706,,1073868,SOMETHING ELSE STRATEGIES,,,,212 GOLDEN WILLOW CT.,,EASLEY,SC,29642,INDEPENDENT EXPENDITURE AGAINST,2016-05-20 00:00:00,,350000.00,700000.00,004,Advertising Expenses ,O,,,,"FEINGOLD, RUSS",,RUSS,,FEINGOLD,,S,WI,,,,,,,,,P2016,PRIMARY,,,,,,,,,,,57602218,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4052020161292973955,4052320161293042359,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201605209015949706
C90013145,US CHAMBER OF COMMERCE,2016,48,201606249020094655,,1080062,REVOLUTION MEDIA GROUP,,,,1020 PRINCESS STREET,,ALEXANDRIA,VA,22314,,2016-06-23 00:00:00,,340925.00,2581025.00,004,Advertising Expenses ,S,,,,"PORTMAN, ROB",,ROB,,PORTMAN,,S,OH,,,,,,,,,G2016,GENERAL,,,,,,,,,,,57617956,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4062420161300281368,4062420161300281570,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201606249020094655
C90013145,US CHAMBER OF COMMERCE,2016,48,201607079020375549,,1081645,SOMETHING ELSE STRATEGIES,,,,212 GOLDEN WILLOW CT.,,EASLEY,SC,29642,,2016-07-06 00:00:00,,1500000.00,1500150.00,004,Advertising Expenses ,O,,,,"MURPHY, PATRICK",,PATRICK,,MURPHY,,S,FL,,,,,,,,,P2016,PRIMARY,,,,,,,,,,,57619100,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4070720161302676069,4070720161302679145,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201607079020375549
C90013145,US CHAMBER OF COMMERCE,2016,24,201607079020375614,,1081647,REVOLUTION AGENCY,,,,1020 PRINCESS STREET,,ALEXANDRIA,VA,22314,,2016-05-31 00:00:00,,665587.00,2250074.00,004,Advertising Expenses ,O,,,,"CORTEZ-MASTO, CATHERINE",,CATHERINE,,CORTEZ-MASTO,,S,NV,,,,,,,,,P2016,PRIMARY,,,,,,,,,,,57602844,,N,NO CHANGE,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4070720161302676070,4070720161302679148,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201607079020375614
C90013145,US CHAMBER OF COMMERCE,2016,24,201607079020375614,,1081647,REVOLUTION AGENCY,,,,1020 PRINCESS STREET,,ALEXANDRIA,VA,22314,,2016-05-31 00:00:00,,834337.00,2250074.00,004,Advertising Expenses ,S,,,,"HECK, JOSEPH",,JOSEPH,,HECK,,S,NV,,,,,,,,,P2016,PRIMARY,,,,,,,,,,,57602843,,N,NO CHANGE,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4070720161302676070,4070720161302679147,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201607079020375614
C90013145,US CHAMBER OF COMMERCE,2016,24,201607159020492229,,1085290,REDEDGE,,,,2300 CLARENDON BLVD #901,,ARLINGTON,VA,22201,,2016-07-15 00:00:00,,150.00,650150.00,004,Advertising Expenses ,S,,,,"FERGUSON, DREW",,DREW,,FERGUSON,,H,GA,03,,,,,,,,O2016,,,,,,,,,,,,57619873,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4071520161306646649,4071520161306647655,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201607159020492229
C90013145,US CHAMBER OF COMMERCE,2016,24,201607269021938500,,1091191,REVOLUTION MEDIA GROUP,,,,1020 PRINCESS STREET,,ALEXANDRIA,VA,22314,,2016-07-25 00:00:00,,199711.00,401907.12,004,Advertising Expenses ,O,,,,"HUELSKAMP, TIM",,TIM,,HUELSKAMP,,H,KS,01,,,,,,,,P2016,PRIMARY,,,,,,,,,,,57620665,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4080120161307392105,4080120161307393507,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201607269021938500
C90013145,US CHAMBER OF COMMERCE,2016,24,201607269021938500,,1091191,REDEDGE,,,,2300 CLARENDON BLVD #901,,ARLINGTON,VA,22201,,2016-07-25 00:00:00,,150.00,401907.12,004,Advertising Expenses ,S,,,,"MARSHALL, ROGER",,ROGER,,MARSHALL,,H,KS,01,,,,,,,,P2016,PRIMARY,,,,,,,,,,,57620666,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4080120161307392105,4080120161307393508,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201607269021938500
