committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,cand_office_state,cand_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,election_type,election_type_full,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C00487470,CLUB FOR GROWTH ACTION,2016,24,201608199022539094,24,1095397,FACEBOOK,,,,1 HACKER DR.,,MENLO PARK,CA,94025,INTERNET ADS,2016-08-16 00:00:00,2016-08-16 00:00:00,280.00,20442.04,,,S,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,S,FL,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2016-08-19 00:00:00,,,,,,ADAM,,ROZANSKY,SE.9269,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081920161313049991,4081920161313056942,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608199022539094
C00487470,CLUB FOR GROWTH ACTION,2015,48,201509249002777264,24,1026093,"BASK DIGITAL MEDIA, LLC",,,,1953 SAN ELIJO AVE.,STE. 2005,CARDIFF-BY-THE-SEA,CA,92007,"DIGITAL AD PLACEMENT, PRODUCTION COSTS",2015-09-21 00:00:00,2015-09-22 00:00:00,59500.00,713747.05,,,O,,,S8WI00026,"FEINGOLD, RUSSELL DANA",,RUSSELL DANA,,FEINGOLD,,S,WI,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2015-09-24 00:00:00,,,,,,ADAM,,ROZANSKY,SE.4874,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4092420151254213865,4092420151254214259,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201509249002777264
C00487470,CLUB FOR GROWTH ACTION,2015,48,201509249002777265,24,1026093,CLUB FOR GROWTH,,,,"2001 L ST., NW",SUITE 600,WASHINGTON,DC,20036,DIGITAL AD PRODUCTION COSTS (FROM ADVANCE LINE 21),2015-09-22 00:00:00,2015-09-22 00:00:00,214.35,714739.95,,,S,,,S0WI00197,"JOHNSON, RONALD HAROLD",,RONALD HAROLD,,JOHNSON,,S,WI,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2015-09-24 00:00:00,,,,,,ADAM,,ROZANSKY,SE.4875,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4092420151254213865,4092420151254214261,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201509249002777265
C00487470,CLUB FOR GROWTH ACTION,2015,48,201509249002777266,24,1026093,CLUB FOR GROWTH,,,,"2001 L ST., NW",SUITE 600,WASHINGTON,DC,20036,PRESS RELEASE (FROM ADVANCE LINE 21),2015-09-22 00:00:00,2015-09-22 00:00:00,157.76,715397.85,,,O,,,S8WI00026,"FEINGOLD, RUSSELL DANA",,RUSSELL DANA,,FEINGOLD,,S,WI,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2015-09-24 00:00:00,,,,,,ADAM,,ROZANSKY,SE.4879,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4092420151254213865,4092420151254214263,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201509249002777266
C00487470,CLUB FOR GROWTH ACTION,2015,48,201509249002777264,24,1026093,"BASK DIGITAL MEDIA, LLC",,,,1953 SAN ELIJO AVE.,STE. 2005,CARDIFF-BY-THE-SEA,CA,92007,"DIGITAL AD PLACEMENT, PRODUCTION COSTS",2015-09-21 00:00:00,2015-09-22 00:00:00,25500.00,654247.05,,,S,,,S0WI00197,"JOHNSON, RONALD HAROLD",,RONALD HAROLD,,JOHNSON,,S,WI,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2015-09-24 00:00:00,,,,,,ADAM,,ROZANSKY,SE.4873,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4092420151254213865,4092420151254214258,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201509249002777264
C00487470,CLUB FOR GROWTH ACTION,2015,48,201509249002777265,24,1026093,CLUB FOR GROWTH,,,,"2001 L ST., NW",SUITE 600,WASHINGTON,DC,20036,TV AD PRODUCTION COSTS (FROM ADVANCE LINE 21),2015-09-22 00:00:00,2015-09-22 00:00:00,778.55,714525.60,,,O,,,S8WI00026,"FEINGOLD, RUSSELL DANA",,RUSSELL DANA,,FEINGOLD,,S,WI,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2015-09-24 00:00:00,,,,,,ADAM,,ROZANSKY,SE.4872,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4092420151254213865,4092420151254214260,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201509249002777265
C00487470,CLUB FOR GROWTH ACTION,2015,48,201509249002777266,24,1026093,CLUB FOR GROWTH,,,,"2001 L ST., NW",SUITE 600,WASHINGTON,DC,20036,DIGITAL AD PRODUCTION COSTS (FROM ADVANCE LINE 21),2015-09-22 00:00:00,2015-09-22 00:00:00,500.14,715240.09,,,O,,,S8WI00026,"FEINGOLD, RUSSELL DANA",,RUSSELL DANA,,FEINGOLD,,S,WI,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2015-09-24 00:00:00,,,,,,ADAM,,ROZANSKY,SE.4876,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4092420151254213865,4092420151254214262,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201509249002777266
C00487470,CLUB FOR GROWTH ACTION,2016,24,201608159022245914,24,1093961,FACEBOOK,,,,1 HACKER DR.,,MENLO PARK,CA,94025,INTERNET ADS,2016-08-10 00:00:00,2016-08-10 00:00:00,359.57,18080.79,,,S,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,S,FL,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2016-08-15 00:00:00,,,,,,ADAM,,ROZANSKY,SE.9232,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081520161312236781,4081520161312240527,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608159022245914
C00487470,CLUB FOR GROWTH ACTION,2016,24,201603049009644003,24,1053543,CLUB FOR GROWTH,,,,"2001 L ST., NW",SUITE 600,WASHINGTON,DC,20036,INTERNET COMMUNICATIONS (FROM ADVANCE LINE 21),2016-03-03 00:00:00,2016-03-03 00:00:00,14.65,22952.08,,,S,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,P,IL,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2016-03-04 00:00:00,,,,,,ADAM,,ROZANSKY,SE.6154,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4030420161276058907,4030420161276059659,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201603049009644003
C00487470,CLUB FOR GROWTH ACTION,2016,24,201608159022245915,24,1093961,FACEBOOK,,,,1 HACKER DR.,,MENLO PARK,CA,94025,INTERNET ADS,2016-08-13 00:00:00,2016-08-13 00:00:00,319.32,19065.99,,,S,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,S,FL,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2016-08-15 00:00:00,,,,,,ADAM,,ROZANSKY,SE.9235,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081520161312236781,4081520161312240533,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608159022245915
