committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,cand_office_state,cand_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,election_type,election_type_full,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C00577049,FLORIDIANS FOR A STRONG MIDDLE CLASS,2016,48,201608049022178485,24,1092606,"WATERFRONT STRATEGIES, INC.",,,,"3050 K ST, NW",SUITE 100,WASHINGTON,DC,20007,ADVERTISEMENT,2016-08-02 00:00:00,2016-08-02 00:00:00,87471.00,87471.00,,,S,,,S6FL00319,"PATRICK, MURPHY",,MURPHY,,PATRICK,,S,FL,,C00493825,,,,,,,P2016,,"JENNIFER, MAY",2016-08-04 00:00:00,,,,,,MAY,,JENNIFER,WFT2016742232-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4080520161308951424,4080520161308955528,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608049022178485
C00577049,FLORIDIANS FOR A STRONG MIDDLE CLASS,2016,48,201608079022181786,24,1092931,"WATERFRONT STRATEGIES, INC.",,,,"3050 K ST, NW",SUITE 100,WASHINGTON,DC,20007,ADVERTISEMENT,2016-08-05 00:00:00,2016-08-05 00:00:00,87471.00,358045.59,,,S,,,S6FL00319,"PATRICK, MURPHY",,MURPHY,,PATRICK,,S,FL,,C00493825,,,,,,,P2016,,"JENNIFER, MAY",2016-08-07 00:00:00,,,,,,MAY,,JENNIFER,WFT2016742232-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4080820161308988402,4080820161308992839,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608079022181786
C00577049,FLORIDIANS FOR A STRONG MIDDLE CLASS,2016,48,201608089022184581,24,1093087,"WATERFRONT STRATEGIES, INC.",,,,"3050 K ST, NW",SUITE 100,WASHINGTON,DC,20007,ADVERTISEMENT,2016-08-06 00:00:00,2016-08-06 00:00:00,41652.00,399697.59,,,S,,,S6FL00319,"PATRICK, MURPHY",,MURPHY,,PATRICK,,S,FL,,C00493825,,,,,,,P2016,,"JENNIFER, MAY",2016-08-08 00:00:00,,,,,,MAY,,JENNIFER,WFT2016742232-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4080920161309022755,4080920161309026703,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608089022184581
C00577049,FLORIDIANS FOR A STRONG MIDDLE CLASS,2016,48,201608109022191099,24,1093390,"WATERFRONT STRATEGIES, INC.",,,,"3050 K ST, NW",SUITE 100,WASHINGTON,DC,20007,ADVERTISEMENT,2016-08-08 00:00:00,2016-08-08 00:00:00,87471.00,528820.59,,,S,,,S6FL00319,"PATRICK, MURPHY",,MURPHY,,PATRICK,,S,FL,,C00493825,,,,,,,P2016,,"JENNIFER, MAY",2016-08-10 00:00:00,,,,,,MAY,,JENNIFER,WFT2016742232-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081020161311891094,4081020161311894886,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608109022191099
C00577049,FLORIDIANS FOR A STRONG MIDDLE CLASS,2016,48,201608069022181362,24,1092906,AKPD MESSAGE AND MEDIA,,,,730 N FRANKLIN ST,SUITE 404,CHICAGO,IL,60654,ADVERTISING PRODUCTION,2016-08-04 00:00:00,2016-08-04 00:00:00,2826.96,270574.59,,,S,,,S6FL00319,"PATRICK, MURPHY",,MURPHY,,PATRICK,,S,FL,,C00493825,,,,,,,P2016,,"JENNIFER, MAY",2016-08-06 00:00:00,,,,,,MAY,,JENNIFER,WFT2016761912-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4080820161308988401,4080820161308992835,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608069022181362
C00577049,FLORIDIANS FOR A STRONG MIDDLE CLASS,2016,48,201608099022187006,24,1093221,"WATERFRONT STRATEGIES, INC.",,,,"3050 K ST, NW",SUITE 100,WASHINGTON,DC,20007,ADVERTISEMENT,2016-08-07 00:00:00,2016-08-07 00:00:00,41652.00,441349.59,,,S,,,S6FL00319,"PATRICK, MURPHY",,MURPHY,,PATRICK,,S,FL,,C00493825,,,,,,,P2016,,"JENNIFER, MAY",2016-08-09 00:00:00,,,,,,MAY,,JENNIFER,WFT2016742232-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081020161311891069,4081020161311894631,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608099022187006
C00577049,FLORIDIANS FOR A STRONG MIDDLE CLASS,2016,48,201608069022181362,24,1092906,SENATE MAJORITY PAC,,,,"700 13TH ST, NW",SUITE 600,WASHINGTON,DC,20005,ADVERTISING PRODUCTION,2016-08-04 00:00:00,2016-08-04 00:00:00,5334.63,270574.59,,,S,,,S6FL00319,"PATRICK, MURPHY",,MURPHY,,PATRICK,,S,FL,,C00493825,,,,,,,P2016,,"JENNIFER, MAY",2016-08-06 00:00:00,,,,,,MAY,,JENNIFER,WFT201676195-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4080820161308988401,4080820161308992837,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608069022181362
C00577049,FLORIDIANS FOR A STRONG MIDDLE CLASS,2016,48,201608059022180746,24,1092845,"WATERFRONT STRATEGIES, INC.",,,,"3050 K ST, NW",SUITE 100,WASHINGTON,DC,20007,ADVERTISEMENT,2016-08-03 00:00:00,2016-08-03 00:00:00,87471.00,174942.00,,,S,,,S6FL00319,"PATRICK, MURPHY",,MURPHY,,PATRICK,,S,FL,,C00493825,,,,,,,P2016,,"JENNIFER, MAY",2016-08-05 00:00:00,,,,,,MAY,,JENNIFER,WFT2016742232-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4080620161308980560,4080620161308980617,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608059022180746
C00577049,FLORIDIANS FOR A STRONG MIDDLE CLASS,2016,48,201610119032231209,24,1103875,"WATERFRONT STRATEGIES, INC.",,,,"3050 K ST, NW",SUITE 100,WASHINGTON,DC,20007,ADVERTISEMENT,2016-08-04 00:00:00,2016-08-04 00:00:00,87471.00,270574.59,,,S,,,S6FL00319,"PATRICK, MURPHY",,MURPHY,,PATRICK,,S,FL,,C00493825,,,,,,,P2016,,"JENNIFER, MAY",2016-10-01 00:00:00,,,,,,MAY,,JENNIFER,WFT2016742232-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4101120161340753183,4101120161340761091,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610119032231209
C00577049,FLORIDIANS FOR A STRONG MIDDLE CLASS,2016,48,201610119032231209,24,1103875,AKPD MESSAGE AND MEDIA,,,,730 N FRANKLIN ST,SUITE 404,CHICAGO,IL,60654,ADVERTISING PRODUCTION,2016-08-04 00:00:00,2016-08-04 00:00:00,2826.96,270574.59,,,S,,,S6FL00319,"PATRICK, MURPHY",,MURPHY,,PATRICK,,S,FL,,,,,,,,,P2016,,"JENNIFER, MAY",2016-10-01 00:00:00,,,,,,MAY,,JENNIFER,WFT20169101540-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4101120161340753183,4101120161340761093,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610119032231209
C00577049,FLORIDIANS FOR A STRONG MIDDLE CLASS,2016,48,201610119032231210,24,1103875,SENATE MAJORITY PAC,,,,"700 13TH ST, NW",SUITE 600,WASHINGTON,DC,20005,ADVERTISING PRODUCTION,2016-08-04 00:00:00,2016-08-04 00:00:00,5334.63,270574.59,,,S,,,S6FL00319,"PATRICK, MURPHY",,MURPHY,,PATRICK,,S,FL,,,,,,,,,P2016,,"JENNIFER, MAY",2016-10-01 00:00:00,,,,,,MAY,,JENNIFER,WFT20169101541-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4101120161340753183,4101120161340761095,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610119032231210
C00577049,FLORIDIANS FOR A STRONG MIDDLE CLASS,2016,24,201610279036648418,24,1118425,"WATERFRONT STRATEGIES, INC.",,,,"3050 K ST, NW",SUITE 100,WASHINGTON,DC,20007,ADVERTISEMENT,2016-10-25 00:00:00,2016-10-25 00:00:00,22728.57,590249.16,,,O,,,S0FL00338,"MARCO, RUBIO",,RUBIO,,MARCO,,S,FL,,C00620518,,,,,,,G2016,,"JENNIFER, MAY",2016-10-26 00:00:00,,,,,,MAY,,JENNIFER,WFT20169261833-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102720161345535299,4102720161345548782,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610279036648418
C00577049,FLORIDIANS FOR A STRONG MIDDLE CLASS,2016,24,201610279036648418,24,1118425,"WATERFRONT STRATEGIES, INC.",,,,"3050 K ST, NW",SUITE 100,WASHINGTON,DC,20007,ADVERTISEMENT,2016-10-25 00:00:00,2016-10-25 00:00:00,38700.00,590249.16,,,S,,,S6FL00319,"PATRICK, MURPHY",,MURPHY,,PATRICK,,S,FL,,C00493825,,,,,,,G2016,,"JENNIFER, MAY",2016-10-26 00:00:00,,,,,,MAY,,JENNIFER,WFT2016742232-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102720161345535299,4102720161345548784,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610279036648418
C00577049,FLORIDIANS FOR A STRONG MIDDLE CLASS,2016,24,201610289037006403,24,1120441,AKPD MESSAGE AND MEDIA,,,,1140 CONNECTICUT AVE NW,STE 800,WASHINGTON,DC,200364010,ADVERTISING PRODUCTION,2016-10-27 00:00:00,2016-10-27 00:00:00,6779.38,195046.63,,,S,,,S6FL00319,"MURPHY, PATRICK E",,PATRICK,E,MURPHY,,S,FL,00,,,,,,,,G2016,,"MAY, JENNIFER",2016-10-28 00:00:00,,,,,,JENNIFER,,MAY,VQZ71AB1HN1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102820161345571898,4102820161345579592,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610289037006403
C00577049,FLORIDIANS FOR A STRONG MIDDLE CLASS,2016,24,201610289037006403,24,1120441,AKPD MESSAGE AND MEDIA,,,,1140 CONNECTICUT AVE NW,STE 800,WASHINGTON,DC,200364010,ADVERTISING PRODUCTION,2016-10-27 00:00:00,2016-10-27 00:00:00,3981.54,195046.63,,,O,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,S,FL,00,,,,,,,,G2016,,"MAY, JENNIFER",2016-10-28 00:00:00,,,,,,JENNIFER,,MAY,VQZ71AB1HP9,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102820161345571898,4102820161345579596,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610289037006403
C00577049,FLORIDIANS FOR A STRONG MIDDLE CLASS,2016,24,201610289037006404,24,1120441,WATERFRONT STRATEGIES,,,,3050 K ST NW,STE 100,WASHINGTON,DC,200075161,ADVERTISEMENT,2016-10-27 00:00:00,2016-10-27 00:00:00,38700.00,195046.63,,,S,,,S6FL00319,"MURPHY, PATRICK E",,PATRICK,E,MURPHY,,S,FL,00,,,,,,,,G2016,,"MAY, JENNIFER",2016-10-28 00:00:00,,,,,,JENNIFER,,MAY,VQZ71AB1H89,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102820161345571898,4102820161345579599,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610289037006404
C00577049,FLORIDIANS FOR A STRONG MIDDLE CLASS,2016,24,201610289037006404,24,1120441,WATERFRONT STRATEGIES,,,,3050 K ST NW,STE 100,WASHINGTON,DC,200075161,ADVERTISEMENT,2016-10-27 00:00:00,2016-10-27 00:00:00,22728.57,195046.63,,,O,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,S,FL,00,,,,,,,,G2016,,"MAY, JENNIFER",2016-10-28 00:00:00,,,,,,JENNIFER,,MAY,VQZ71AB1HF4,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102820161345571898,4102820161345579602,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610289037006404
C00577049,FLORIDIANS FOR A STRONG MIDDLE CLASS,2016,24,201610309037009172,24,1120939,"WATERFRONT STRATEGIES, INC.",,,,"3050 K ST, NW",SUITE 100,WASHINGTON,DC,20007,ADVERTISEMENT,2016-10-26 00:00:00,2016-10-26 00:00:00,22728.57,651677.73,,,O,,,S0FL00338,"MARCO, RUBIO",,RUBIO,,MARCO,,S,FL,,C00620518,,,,,,,G2016,,"JENNIFER, MAY",2016-10-27 00:00:00,,,,,,MAY,,JENNIFER,WFT20169261833-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4103020161345618897,4103020161345621168,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610309037009172
