committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,cand_office_state,cand_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,election_type,election_type_full,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C00564765,"FREEDOM PARTNERS ACTION FUND, INC.",2016,48,201603179009778693,24,1055985,I360,,,,PO BOX 37046,,BALTIMORE,MD,21297,MEDIA PLACEMENT - BROADCAST/CABLE,2016-03-10 00:00:00,2016-03-16 00:00:00,1553600.00,1856568.00,,,O,,,S6OH00254,"STRICKLAND, TED",,TED,,STRICKLAND,,S,OH,,,,,,,,,G2016,,"MAXWELL, THOMAS FRANCIS III",2016-03-31 00:00:00,,,,,,THOMAS,FRANCIS,MAXWELL,SE24.491,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4031720161276469788,4031720161276472780,,,t,,,III,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201603179009778693
C00564765,"FREEDOM PARTNERS ACTION FUND, INC.",2016,48,201603179009778694,24,1055985,SANDLER-INNOCENZI INC.,,,,705 PRINCE STREET,,ALEXANDRIA,VA,22314,TV/DIGITAL MEDIA PRODUCTION,2016-03-15 00:00:00,2016-03-16 00:00:00,22070.00,1856568.00,,,O,,,S6OH00254,"STRICKLAND, TED",,TED,,STRICKLAND,,S,OH,,,,,,,,,G2016,,"MAXWELL, THOMAS FRANCIS III",2016-03-31 00:00:00,,,,,,THOMAS,FRANCIS,MAXWELL,SE24.498,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4031720161276469788,4031720161276472783,,,t,,,III,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201603179009778694
C00564765,"FREEDOM PARTNERS ACTION FUND, INC.",2016,48,201605039015383937,24,1070799,I360,,,,PO BOX 37046,,BALTIMORE,MD,21297,MEDIA PLACEMENT - DIGITAL,2016-04-29 00:00:00,2016-05-02 00:00:00,508418.00,2025048.99,,,O,,,S8WI00026,"FEINGOLD, RUSSELL",,RUSSELL,,FEINGOLD,,S,WI,,,,,,,,,G2016,,"MAXWELL, THOMAS FRANCIS III",2016-04-30 00:00:00,,,,,,THOMAS,FRANCIS,MAXWELL,SE24.557,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4050320161284670157,4050320161284676932,,,t,,,III,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201605039015383937
C00564765,"FREEDOM PARTNERS ACTION FUND, INC.",2016,48,201605039015383937,24,1070799,I360,,,,PO BOX 37046,,BALTIMORE,MD,21297,MEDIA PLACEMENT - BROADCAST/CABLE,2016-04-29 00:00:00,2016-05-02 00:00:00,1461450.00,2025048.99,,,O,,,S8WI00026,"FEINGOLD, RUSSELL",,RUSSELL,,FEINGOLD,,S,WI,,,,,,,,,G2016,,"MAXWELL, THOMAS FRANCIS III",2016-04-30 00:00:00,,,,,,THOMAS,FRANCIS,MAXWELL,SE24.554,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4050320161284670157,4050320161284676934,,,t,,,III,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201605039015383937
C00564765,"FREEDOM PARTNERS ACTION FUND, INC.",2016,48,201605039015383940,24,1070801,FP1 STRATEGIES LLC,,,,PO BOX 16504,,ALEXANDRIA,VA,22302,TV/MEDIA PRODUCTION,2016-04-29 00:00:00,2016-05-02 00:00:00,12000.00,1036945.00,,,O,,,S6NV00200,"MASTO, CATHERINE CORTEZ",,CATHERINE,CORTEZ,MASTO,,S,NV,,,,,,,,,G2016,,"MAXWELL, THOMAS FRANCIS III",2016-04-30 00:00:00,,,,,,THOMAS,FRANCIS,MAXWELL,SE24.566,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4050320161284670158,4050320161284676942,,,t,,,III,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201605039015383940
C00564765,"FREEDOM PARTNERS ACTION FUND, INC.",2016,48,201605109015430172,24,1071501,FREEDOM PARTNERS CHAMBER OF COMMERCE INC.,,,,2200 WILSON BLVD.,STE. 102-533,ARLINGTON,VA,22201,DIGITAL MEDIA PRODUCTION,2016-05-04 00:00:00,2016-05-04 00:00:00,6000.00,2041498.99,,,O,,,S8WI00026,"FEINGOLD, RUSSELL",,RUSSELL,,FEINGOLD,,S,WI,,,,,,,,,G2016,,"MAXWELL, THOMAS FRANCIS III",2016-05-31 00:00:00,,,,,,THOMAS,FRANCIS,MAXWELL,SE24.580,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4051020161292455905,4051020161292459973,,,t,,,III,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201605109015430172
C00564765,"FREEDOM PARTNERS ACTION FUND, INC.",2016,48,201605109015430174,24,1071501,FP1 STRATEGIES LLC,,,,PO BOX 16504,,ALEXANDRIA,VA,22302,TV/MEDIA PRODUCTION,2016-05-10 00:00:00,2016-05-09 00:00:00,9450.00,2041498.99,,,O,,,S8WI00026,"FEINGOLD, RUSSELL",,RUSSELL,,FEINGOLD,,S,WI,,,,,,,,,G2016,,"MAXWELL, THOMAS FRANCIS III",2016-05-31 00:00:00,,,,,,THOMAS,FRANCIS,MAXWELL,SE24.591,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4051020161292455905,4051020161292459979,,,t,,,III,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201605109015430174
C00564765,"FREEDOM PARTNERS ACTION FUND, INC.",2016,48,201605189015533996,24,1072713,I360,,,,PO BOX 37046,,BALTIMORE,MD,21297,DIRECT MAIL EXPENSE,2016-05-17 00:00:00,2016-05-18 00:00:00,2990.69,1128589.29,,,O,,,S6NV00200,"MASTO, CATHERINE CORTEZ",,CATHERINE,CORTEZ,MASTO,,S,NV,,,,,,,,,G2016,,"MAXWELL, THOMAS FRANCIS III",2016-05-31 00:00:00,,,,,,THOMAS,FRANCIS,MAXWELL,SE24.002,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4051820161292876687,4051820161292879835,,,t,,,III,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201605189015533996
C00564765,"FREEDOM PARTNERS ACTION FUND, INC.",2016,48,201605189015533906,24,1072711,I360,,,,PO BOX 37046,,BALTIMORE,MD,21297,DIRECT MAIL EXPENSE,2016-05-17 00:00:00,2016-05-18 00:00:00,2457.51,2108171.88,,,O,,,S8WI00026,"FEINGOLD, RUSSELL",,RUSSELL,,FEINGOLD,,S,WI,,,,,,,,,G2016,,"MAXWELL, THOMAS FRANCIS III",2016-05-31 00:00:00,,,,,,THOMAS,FRANCIS,MAXWELL,SE24.614,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4051820161292876686,4051820161292879819,,,t,,,III,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201605189015533906
C00564765,"FREEDOM PARTNERS ACTION FUND, INC.",2016,48,201605189015533994,24,1072713,FP1 STRATEGIES LLC,,,,PO BOX 16504,,ALEXANDRIA,VA,22302,DIGITAL MEDIA PRODUCTION,2016-05-04 00:00:00,2016-05-04 00:00:00,9000.00,1128589.29,,,O,,,S6NV00200,"MASTO, CATHERINE CORTEZ",,CATHERINE,CORTEZ,MASTO,,S,NV,,,,,,,,,G2016,,"MAXWELL, THOMAS FRANCIS III",2016-05-31 00:00:00,,,,,,THOMAS,FRANCIS,MAXWELL,SE24.581,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4051820161292876687,4051820161292879825,,,t,,,III,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201605189015533994
