committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,cand_office_state,cand_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,election_type,election_type_full,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C00580381,GRANITE STATE SOLUTIONS,2016,24,201609079030749819,24,1098063,MAIN STREET MEDIA GROUP,,,,PO BOX 25093,,ALEXANDRIA,VA,22313,MEDIA BUY,2016-08-31 00:00:00,2016-09-06 00:00:00,2275095.15,2775452.65,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,00,C00580381,,,,,,,P2016,,"KILGORE, PAUL",2016-09-07 00:00:00,,,,,,PAUL,,KILGORE,SE.4151,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4090720161316856673,4090720161316859969,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609079030749819
C00580381,GRANITE STATE SOLUTIONS,2016,24,201609079030749819,24,1098063,RSM,,,,1702 E HIGHLAND AVE STE 408,,PHOENIX,AZ,85016,MEDIA PRODUCTION,2016-09-06 00:00:00,2016-09-06 00:00:00,2000.00,2789412.65,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,00,C00580381,,,,,,,P2016,,"KILGORE, PAUL",2016-09-07 00:00:00,,,,,,PAUL,,KILGORE,SE.4152,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4090720161316856673,4090720161316859971,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609079030749819
C00580381,GRANITE STATE SOLUTIONS,2016,24,201609019023768503,24,1097645,"FP1 STRATEGIES, LLC",,,,PO BOX 16504,,ALEXANDRIA,VA,22302,VIDEO PRODUCTION,2016-08-31 00:00:00,2016-09-01 00:00:00,11960.00,512317.50,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,00,C00580381,,,,,,,P2016,,"KILGORE, PAUL",2016-09-01 00:00:00,,,,,,PAUL,,KILGORE,SE.4140,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4090120161316666186,4090120161316670964,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609019023768503
C00580381,GRANITE STATE SOLUTIONS,2016,24,201609019023768503,24,1097645,MAIN STREET MEDIA GROUP,,,,PO BOX 25093,,ALEXANDRIA,VA,22313,MEDIA BUY,2016-08-31 00:00:00,2016-09-01 00:00:00,500357.50,500357.50,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,00,C00580381,,,,,,,P2016,,"KILGORE, PAUL",2016-09-01 00:00:00,,,,,,PAUL,,KILGORE,SE.4139,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4090120161316666186,4090120161316670966,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609019023768503
C00580381,GRANITE STATE SOLUTIONS,2016,24,201609079030749820,24,1098063,TARGETED VICTORY,,,,1033 NORTH FAIRFAX ST STE 400,,ALEXANDRIA,VA,22314,MEDIA ADVERTISING,2016-09-06 00:00:00,2016-09-06 00:00:00,86687.62,2876100.27,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,00,C00580381,,,,,,,P2016,,"KILGORE, PAUL",2016-09-07 00:00:00,,,,,,PAUL,,KILGORE,SE.4153,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4090720161316856673,4090720161316859973,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609079030749820
C00580381,GRANITE STATE SOLUTIONS,2016,24,201609139030805398,24,1098810,"FP1 STRATEGIES, LLC",,,,PO BOX 16504,,ALEXANDRIA,VA,22302,MEDIA PRODUCTION,2016-09-13 00:00:00,2016-09-13 00:00:00,12125.00,5273637.02,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,00,C00580381,,,,,,,P2016,,"KILGORE, PAUL",2016-09-13 00:00:00,,,,,,PAUL,,KILGORE,SE.4158,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4091320161317007053,4091320161317010090,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609139030805398
C00580381,GRANITE STATE SOLUTIONS,2016,24,201609139030805398,24,1098810,MAIN STREET MEDIA GROUP,,,,PO BOX 25093,,ALEXANDRIA,VA,22313,MEDIA BUY,2016-08-31 00:00:00,2016-09-13 00:00:00,2385411.75,5160864.40,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,00,C00580381,,,,,,,P2016,,"KILGORE, PAUL",2016-09-13 00:00:00,,,,,,PAUL,,KILGORE,SE.4159,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4091320161317007053,4091320161317010092,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609139030805398
C00580381,GRANITE STATE SOLUTIONS,2016,24,201609139030805399,24,1098810,TARGETED VICTORY,,,,1033 NORTH FAIRFAX ST STE 400,,ALEXANDRIA,VA,22314,ONLINE MEDIA,2016-09-13 00:00:00,2016-09-13 00:00:00,53854.58,5327491.60,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,00,C00580381,,,,,,,P2016,,"KILGORE, PAUL",2016-09-13 00:00:00,,,,,,PAUL,,KILGORE,SE.4157,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4091320161317007053,4091320161317010094,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609139030805399
C00580381,GRANITE STATE SOLUTIONS,2016,24,201609209030972531,24,1100087,"FP1 STRATEGIES, LLC",,,,PO BOX 16504,,ALEXANDRIA,VA,22302,RADIO ADVERTISING AND PRODUCTION,2016-09-20 00:00:00,2016-09-20 00:00:00,15430.00,5118090.24,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,00,C00580381,,,,,,,G2016,,"KILGORE, PAUL",2016-09-20 00:00:00,,,,,,PAUL,,KILGORE,SE.4168,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4092020161317275337,4092020161317282828,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609209030972531
C00580381,GRANITE STATE SOLUTIONS,2016,24,201609209030972531,24,1100087,MAIN STREET MEDIA GROUP,,,,PO BOX 25093,,ALEXANDRIA,VA,22313,MEDIA BUY,2016-09-16 00:00:00,2016-09-20 00:00:00,5102660.24,5102660.24,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,00,C00580381,,,,,,,G2016,,"KILGORE, PAUL",2016-09-20 00:00:00,,,,,,PAUL,,KILGORE,SE.4169,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4092020161317275337,4092020161317282830,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609209030972531
C00580381,GRANITE STATE SOLUTIONS,2016,24,201609209030972532,24,1100087,TARGETED VICTORY,,,,1033 NORTH FAIRFAX ST STE 400,,ALEXANDRIA,VA,22314,DIGITAL ADVERTISING,2016-09-20 00:00:00,2016-09-20 00:00:00,140542.00,5258632.24,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,00,C00580381,,,,,,,G2016,,"KILGORE, PAUL",2016-09-20 00:00:00,,,,,,PAUL,,KILGORE,SE.4171,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4092020161317275337,4092020161317282832,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609209030972532
C00580381,GRANITE STATE SOLUTIONS,2016,24,201609289032142459,24,1101551,"FP1 STRATEGIES, LLC",,,,PO BOX 16504,,ALEXANDRIA,VA,22302,ADDITIONAL MEDIA PRODUCTION,2016-09-28 00:00:00,2016-09-27 00:00:00,15895.00,5274527.24,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,00,C00580381,,,,,,,G2016,,"KILGORE, PAUL",2016-09-28 00:00:00,,,,,,PAUL,,KILGORE,SE.4177,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4092820161334825766,4092820161334834517,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609289032142459
C00580381,GRANITE STATE SOLUTIONS,2016,48,201610059032170132,24,1102554,"FP1 STRATEGIES, LLC",,,,PO BOX 16504,,ALEXANDRIA,VA,22302,MEDIA PRODUCTION,2016-10-05 00:00:00,2016-10-04 00:00:00,15480.00,7398285.28,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,00,C00580381,,,,,,,G2016,,"KILGORE, PAUL",2016-10-05 00:00:00,,,,,,PAUL,,KILGORE,SE.4191,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4100520161340620883,4100520161340626612,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610059032170132
C00580381,GRANITE STATE SOLUTIONS,2016,48,201610059032170132,24,1102554,MAIN STREET MEDIA GROUP,,,,PO BOX 25093,,ALEXANDRIA,VA,22313,MEDIA BUY,2016-09-30 00:00:00,2016-10-04 00:00:00,1967736.04,7242263.28,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,00,C00580381,,,,,,,G2016,,"KILGORE, PAUL",2016-10-05 00:00:00,,,,,,PAUL,,KILGORE,SE.4189,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4100520161340620883,4100520161340626614,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610059032170132
C00580381,GRANITE STATE SOLUTIONS,2016,48,201610059032170133,24,1102554,TARGETED VICTORY,,,,1033 NORTH FAIRFAX ST STE 400,,ALEXANDRIA,VA,22314,DIGITAL ADVERTISING,2016-10-04 00:00:00,2016-10-04 00:00:00,140542.00,7382805.28,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,00,C00580381,,,,,,,G2016,,"KILGORE, PAUL",2016-10-05 00:00:00,,,,,,PAUL,,KILGORE,SE.4192,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4100520161340620883,4100520161340626616,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610059032170133
C00580381,GRANITE STATE SOLUTIONS,2016,48,201610079032201353,24,1103200,MAIN STREET MEDIA GROUP,,,,PO BOX 25093,,ALEXANDRIA,VA,22313,MEDIA BUY,2016-10-05 00:00:00,2016-10-06 00:00:00,113750.00,7514035.28,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,00,C00580381,,,,,,,G2016,,"KILGORE, PAUL",2016-10-07 00:00:00,,,,,,PAUL,,KILGORE,SE.4196,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4100720161340695320,4100720161340702547,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610079032201353
C00580381,GRANITE STATE SOLUTIONS,2016,48,201610079032201353,24,1103200,RSM,,,,1702 E HIGHLAND AVE STE 408,,PHOENIX,AZ,85016,VIDEO PRODUCTION,2016-10-05 00:00:00,2016-10-06 00:00:00,2000.00,7400285.28,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,00,C00580381,,,,,,,G2016,,"KILGORE, PAUL",2016-10-07 00:00:00,,,,,,PAUL,,KILGORE,SE.4197,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4100720161340695320,4100720161340702549,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610079032201353
C00580381,GRANITE STATE SOLUTIONS,2016,48,201610119032232730,24,1103940,MAIN STREET MEDIA GROUP,,,,PO BOX 25093,,ALEXANDRIA,VA,22313,MEDIA BUY,2016-10-05 00:00:00,2016-10-11 00:00:00,2447764.33,9830569.61,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,00,C00580381,,,,,,,G2016,,"KILGORE, PAUL",2016-10-11 00:00:00,,,,,,PAUL,,KILGORE,SE.4199,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4101120161340753187,4101120161340761323,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610119032232730
C00580381,GRANITE STATE SOLUTIONS,2016,48,201610149032462669,24,1106115,"FP1 STRATEGIES, LLC",,,,PO BOX 16504,,ALEXANDRIA,VA,22302,MEDIA BUY AND PRODUCTION,2016-10-13 00:00:00,2016-10-14 00:00:00,15550.00,9977349.61,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,00,C00580381,,,,,,,G2016,,"KILGORE, PAUL",2016-10-14 00:00:00,,,,,,PAUL,,KILGORE,SE.4203,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4101420161343694557,4101420161343705974,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610149032462669
C00580381,GRANITE STATE SOLUTIONS,2016,48,201610189033027988,24,1109784,MAIN STREET MEDIA GROUP,,,,PO BOX 25093,,ALEXANDRIA,VA,22313,MEDIA BUY,2016-10-13 00:00:00,2016-10-18 00:00:00,3209808.69,13171608.30,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,00,C00580381,,,,,,,G2016,,"KILGORE, PAUL",2016-10-18 00:00:00,,,,,,PAUL,,KILGORE,SE.4213,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4101820161343878419,4101820161343887397,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610189033027988
C00580381,GRANITE STATE SOLUTIONS,2016,48,201610189033027988,24,1109784,TARGETED VICTORY,,,,1033 NORTH FAIRFAX ST STE 400,,ALEXANDRIA,VA,22314,DIGITAL ADVERTISING,2016-10-17 00:00:00,2016-10-18 00:00:00,140542.00,13327700.30,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,00,C00580381,,,,,,,G2016,,"KILGORE, PAUL",2016-10-18 00:00:00,,,,,,PAUL,,KILGORE,SE.4212,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4101820161343878419,4101820161343887399,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610189033027988
C00580381,GRANITE STATE SOLUTIONS,2016,24,201610219034514383,24,1112610,RSM,,,,1702 E HIGHLAND AVE STE 408,,PHOENIX,AZ,85016,MEDIA PRODUCTION,2016-10-21 00:00:00,2016-10-22 00:00:00,2000.00,13329700.30,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,00,C00580381,,,,,,,G2016,,"KILGORE, PAUL",2016-10-21 00:00:00,,,,,,PAUL,,KILGORE,SE.4218,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102120161344422036,4102120161344435555,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610219034514383
C00580381,GRANITE STATE SOLUTIONS,2016,24,201610249034534373,24,1113633,"FP1 STRATEGIES, LLC",,,,PO BOX 16504,,ALEXANDRIA,VA,22302,VIDEO PRODUCTION,2016-10-24 00:00:00,2016-10-23 00:00:00,15807.00,13345507.30,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,00,C00580381,,,,,,,G2016,,"KILGORE, PAUL",2016-10-24 00:00:00,,,,,,PAUL,,KILGORE,SE.4233,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102420161344571251,4102420161344575814,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610249034534373
