committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,cand_office_state,cand_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,election_type,election_type_full,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C90016098,MAJORITY FORWARD,2016,48,201606209018490935,,1079066,SHORR JOHNSON MAGNUS,,,,100 N. 20TH STREET SUITE 201,,PHILADELPHIA,PA,19103,,2016-06-18 00:00:00,,16633.96,318091.96,,,O,,,S4PA00121,"TOOMEY, PATRICK",,PATRICK,,TOOMEY,,S,PA,,,,,,,,,G2016,GENERAL,,,,,,,,,,,F57.000002,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4062020161299828768,4062020161299829124,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201606209018490935
C90016098,MAJORITY FORWARD,2016,48,201606249020094653,,1080061,WATERFRONT STRATEGIES,,,,3050 K ST NW,STE 100,WASHINGTON,DC,200075108,,2016-06-24 00:00:00,,378695.00,717663.38,,,O,,,S4PA00121,"TOOMEY, PATRICK J.",,PATRICK,J.,TOOMEY,,S,PA,,,,,,,,,G2016,GENERAL,,,,,,,,,,,VN7GBA1EJR2,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4062420161300281367,4062420161300281567,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201606249020094653
C90016098,MAJORITY FORWARD,2016,48,201606249020094653,,1080061,SHORR JOHNSON MAGNUS,,,,100 N 20TH ST,STE 201,PHILADELPHIA,PA,191031454,,2016-06-24 00:00:00,,20876.42,717663.38,,,O,,,S4PA00121,"TOOMEY, PATRICK J.",,PATRICK,J.,TOOMEY,,S,PA,,,,,,,,,G2016,GENERAL,,,,,,,,,,,VN7GBA1EVV3,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4062420161300281367,4062420161300281566,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201606249020094653
C90016098,MAJORITY FORWARD,2016,48,201607079020369971,,1081612,SHORR JOHNSON MAGNUS,,,,100 N 20TH ST,STE 201,PHILADELPHIA,PA,191031454,,2016-07-05 00:00:00,,10596.99,1177070.37,,,O,,,S4PA00121,"TOOMEY, PATRICK J.",,PATRICK,J.,TOOMEY,,S,PA,,,,,,,,,G2016,GENERAL,,,,,,,,,,,VN7GBA1HZ37,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4070720161302676067,4070720161302679143,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201607079020369971
C90016098,MAJORITY FORWARD,2016,48,201607079020369971,,1081612,WATERFRONT STRATEGIES,,,,3050 K ST NW,STE 100,WASHINGTON,DC,200075108,,2016-07-05 00:00:00,,448810.00,1177070.37,,,O,,,S4PA00121,"TOOMEY, PATRICK J.",,PATRICK,J.,TOOMEY,,S,PA,,,,,,,,,G2016,GENERAL,,,,,,,,,,,VN7GBA1HYZ5,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4070720161302676067,4070720161302679144,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201607079020369971
C90016098,MAJORITY FORWARD,2016,48,201607279021957158,,1091316,SHORR JOHNSON MAGNUS,,,,100 N 20TH ST,STE 201,PHILADELPHIA,PA,191031454,,2016-07-25 00:00:00,,11890.36,2493113.73,,,O,,,S4PA00121,"TOOMEY, PATRICK J.",,PATRICK,J.,TOOMEY,,S,PA,,,,,,,,,G2016,GENERAL,,,,,,,,,,,VN7GBA1XT08,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4072720161307161299,4072720161307161972,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201607279021957158
C90016098,MAJORITY FORWARD,2016,48,201607279021957158,,1091316,WATERFRONT STRATEGIES,,,,3050 K ST NW,STE 100,WASHINGTON,DC,200075108,,2016-07-25 00:00:00,,1304153.00,2493113.73,,,O,,,S4PA00121,"TOOMEY, PATRICK J.",,PATRICK,J.,TOOMEY,,S,PA,,,,,,,,,G2016,GENERAL,,,,,,,,,,,VN7GBA1XSQ7,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4072720161307161299,4072720161307161973,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201607279021957158
C90016098,MAJORITY FORWARD,2016,48,201606209018490935,,1079066,WATERFRONT STRATEGIES,,,,3050 K STREET NW SUITE 100,,WASHINGTON,DC,20007,,2016-06-18 00:00:00,,301458.00,318091.96,,,O,,,S4PA00121,"TOOMEY, PATRICK",,PATRICK,,TOOMEY,,S,PA,,,,,,,,,G2016,GENERAL,,,,,,,,,,,F57.000001,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4062020161299828768,4062020161299829123,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201606209018490935
C90016098,MAJORITY FORWARD,2016,48,201608019022165466,,1091977,WATERFRONT STRATEGIES,,,,3050 K ST NW,STE 100,WASHINGTON,DC,200075108,,2016-07-30 00:00:00,,247197.00,251480.40,,,O,,,S6NV00218,"HECK, JOE",,JOE,,HECK,,S,NV,,,,,,,,,G2016,GENERAL,,,,,,,,,,,VN7GBA20GV0,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4080220161307743010,4080220161307743611,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201608019022165466
C90016098,MAJORITY FORWARD,2016,48,201608019022165466,,1091977,WATERFRONT STRATEGIES,,,,3050 K ST NW,STE 100,WASHINGTON,DC,200075108,,2016-07-30 00:00:00,,4283.40,251480.40,,,O,,,S6NV00218,"HECK, JOE",,JOE,,HECK,,S,NV,,,,,,,,,G2016,GENERAL,,,,,,,,,,,VN7GBA20GW8,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4080220161307743010,4080220161307743612,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201608019022165466
