committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,cand_office_state,cand_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,election_type,election_type_full,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C90013301,NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION,2016,48,201608319023761466,,1097503,FEDERAL CAPITAL COMMUNICATIONS CORP.,,,,228 SOUTH WASHINGTON STREET,SUITE B30 NORTH,ALEXANDRIA,VA,22314,,2016-08-30 00:00:00,,1500.00,1500.00,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,,,,,,,,,G2016,GENERAL,,,,,,,,,,,F57.6078,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4083120161316662161,4083120161316662229,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201608319023761466
C90013301,NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION,2016,48,201609029023771912,,1097788,FEDERAL CAPITAL COMMUNICATIONS CORP.,,,,228 SOUTH WASHINGTON STREET,SUITE B30 NORTH,ALEXANDRIA,VA,22314,,2016-09-02 00:00:00,,750.00,125773.86,004,Advertising Expenses ,S,,,S6IN00191,"YOUNG, TODD CHRISTOPHER",,TODD CHRISTOPHER,,YOUNG,,S,IN,,,,,,,,,G2016,GENERAL,,,,,,,,,,,F57.6141,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4090220161316700044,4090220161316700141,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201609029023771912
C90013301,NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION,2016,48,201608319023761466,,1097503,PROLIST,,,,4510 BUCKEYSTOWN PIKE,SUITE M,FREDERICK,MD,21704,,2016-08-30 00:00:00,,42638.76,48099.66,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,,,,,,,,,G2016,GENERAL,,,,,,,,,,,F57.6079,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4083120161316662161,4083120161316662231,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201608319023761466
C90013301,NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION,2016,48,201609029023771531,,1097703,FEDERAL CAPITAL COMMUNICATIONS CORP.,,,,228 SOUTH WASHINGTON STREET,SUITE B30 NORTH,ALEXANDRIA,VA,22314,,2016-09-01 00:00:00,,750.00,125306.92,004,Advertising Expenses ,S,,,S0WI00197,"JOHNSON, RONALD HAROLD",,RONALD HAROLD,,JOHNSON,,S,WI,,,,,,,,,G2016,GENERAL,,,,,,,,,,,F57.6124,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4090220161316700036,4090220161316700122,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201609029023771531
C90013301,NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION,2016,48,201609029023771912,,1097788,PROLIST,,,,4510 BUCKEYSTOWN PIKE,SUITE M,FREDERICK,MD,21704,,2016-09-02 00:00:00,,125023.86,125023.86,004,Advertising Expenses ,S,,,S6IN00191,"YOUNG, TODD CHRISTOPHER",,TODD CHRISTOPHER,,YOUNG,,S,IN,,,,,,,,,G2016,GENERAL,,,,,,,,,,,F57.6139,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4090220161316700044,4090220161316700143,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201609029023771912
C90013301,NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION,2016,48,201609079028052323,,1098012,FEDERAL CAPITAL COMMUNICATIONS CORP.,,,,228 SOUTH WASHINGTON STREET,SUITE B30 NORTH,ALEXANDRIA,VA,22314,,2016-09-07 00:00:00,,750.00,750.00,004,Advertising Expenses ,S,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,S,FL,,,,,,,,,G2016,GENERAL,,,,,,,,,,,F57.6154,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4090720161316856742,4090720161316856828,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201609079028052323
C90013301,NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION,2016,48,201609079028052323,,1098012,PROLIST,,,,4510 BUCKEYSTOWN PIKE,SUITE M,FREDERICK,MD,21704,,2016-09-07 00:00:00,,387852.47,388602.47,004,Advertising Expenses ,S,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,S,FL,,,,,,,,,G2016,GENERAL,,,,,,,,,,,F57.6152,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4090720161316856742,4090720161316856830,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201609079028052323
C90013301,NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION,2016,48,201609079028052323,,1098012,MASTER PRINT,,,,8401 TERMINAL ROAD,,NEWINGTON,VA,22122,,2016-09-07 00:00:00,,35200.25,423802.72,004,Advertising Expenses ,S,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,S,FL,,,,,,,,,G2016,GENERAL,,,,,,,,,,,F57.6153,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4090720161316856742,4090720161316856829,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201609079028052323
C90013301,NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION,2016,48,201608319023761466,,1097503,MASTER PRINT,,,,8401 TERMINAL ROAD,,NEWINGTON,VA,22122,,2016-08-30 00:00:00,,3960.90,5460.90,004,Advertising Expenses ,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET WOOD,,HASSAN,,S,NH,,,,,,,,,G2016,GENERAL,,,,,,,,,,,F57.6083,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4083120161316662161,4083120161316662230,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201608319023761466
C90013301,NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION,2016,48,201609029023771531,,1097703,MASTER PRINT,,,,8401 TERMINAL ROAD,,NEWINGTON,VA,22122,,2016-09-01 00:00:00,,11219.07,136525.99,001,Administrative/Salary/Overhead Expenses ,S,,,S0WI00197,"JOHNSON, RONALD HAROLD",,RONALD HAROLD,,JOHNSON,,S,WI,,,,,,,,,G2016,GENERAL,,,,,,,,,,,F57.6123,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4090220161316700036,4090220161316700123,,,t,,,,SE-F57,http://docquery.fec.gov/cgi-bin/fecimg/?201609029023771531
