committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,cand_office_state,cand_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,election_type,election_type_full,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C00027466,NRSC,2016,48,201608109022187441,24,1093267,STRATEGIC MEDIA PLACEMENT,,,,7669 STAGERS LOOP,,DELAWARE,OH,43015,MEDIA PLACEMENT,2016-08-04 00:00:00,2016-08-09 00:00:00,421390.62,1149798.52,,,O,,,S6NH00091,"MARGARET, HASSAN",,HASSAN,,MARGARET,,S,NH,,,,,,,,,G2016,,"JAY, BANNING",2016-08-10 00:00:00,,,,,,BANNING,,JAY,WFT2016710910-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081020161311891082,4081020161311894707,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608109022187441
C00027466,NRSC,2016,48,201608059022179082,24,1092738,ACQUIRE DIGITAL,,,,512A EAST IRIS DR,,NASHVILLE,TN,37204,DIGITAL MEDIA PLACEMENT,2016-07-29 00:00:00,2016-08-02 00:00:00,97383.57,604401.57,,,O,,,S6NH00091,"MARGARET, HASSAN",,HASSAN,,MARGARET,,S,NH,,,,,,,,,G2016,,"JAY, BANNING",2016-08-04 00:00:00,,,,,,BANNING,,JAY,WFT201675110-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4080520161308951427,4080520161308955532,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608059022179082
C00027466,NRSC,2016,48,201608059022179083,24,1092738,ACQUIRE DIGITAL,,,,512A EAST IRIS DR,,NASHVILLE,TN,37204,DIGITAL MEDIA PRODUCTION,2016-07-29 00:00:00,2016-08-02 00:00:00,8000.00,604401.57,,,O,,,S6NH00091,"MARGARET, HASSAN",,HASSAN,,MARGARET,,S,NH,,,,,,,,,G2016,,"JAY, BANNING",2016-08-04 00:00:00,,,,,,BANNING,,JAY,WFT201675112-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4080520161308951427,4080520161308955534,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608059022179083
C00027466,NRSC,2016,48,201608059022179084,24,1092738,STRATEGIC MEDIA PLACEMENT,,,,7669 STAGERS LOOP,,DELAWARE,OH,43015,DIGITAL MEDIA PRODUCTION,2016-08-01 00:00:00,2016-08-02 00:00:00,10000.00,604401.57,,,O,,,S6NH00091,"MARGARET, HASSAN",,HASSAN,,MARGARET,,S,NH,,,,,,,,,G2016,,"JAY, BANNING",2016-08-04 00:00:00,,,,,,BANNING,,JAY,WFT2016751131-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4080520161308951427,4080520161308955536,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608059022179084
C00027466,NRSC,2016,48,201608059022179085,24,1092738,STRATEGIC MEDIA PLACEMENT,,,,7669 STAGERS LOOP,,DELAWARE,OH,43015,DIGITAL MEDIA PRODUCTION,2016-08-01 00:00:00,2016-08-02 00:00:00,3000.00,604401.57,,,O,,,S6NH00091,"MARGARET, HASSAN",,HASSAN,,MARGARET,,S,NH,,,,,,,,,G2016,,"JAY, BANNING",2016-08-04 00:00:00,,,,,,BANNING,,JAY,WFT201675113-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4080520161308951427,4080520161308955538,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608059022179085
C00027466,NRSC,2016,48,201608059022179085,24,1092738,STRATEGIC MEDIA PLACEMENT,,,,7669 STAGERS LOOP,,DELAWARE,OH,43015,MEDIA PRODUCTION,2016-08-01 00:00:00,2016-08-02 00:00:00,25000.00,604401.57,,,O,,,S6NH00091,"MARGARET, HASSAN",,HASSAN,,MARGARET,,S,NH,,,,,,,,,G2016,,"JAY, BANNING",2016-08-04 00:00:00,,,,,,BANNING,,JAY,WFT2016751137-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4080520161308951427,4080520161308955539,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608059022179085
C00027466,NRSC,2016,48,201608059022179086,24,1092738,ACQUIRE DIGITAL,,,,512A EAST IRIS DR,,NASHVILLE,TN,37204,DIGITAL MEDIA PRODUCTION,2016-07-28 00:00:00,2016-08-02 00:00:00,8000.00,578791.06,,,O,,,S6NV00200,"CATHERINE, MASTO CORTEZ",,MASTO,CORTEZ,CATHERINE,,S,NV,,,,,,,,,G2016,,"JAY, BANNING",2016-08-04 00:00:00,,,,,,BANNING,,JAY,WFT2016751139-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4080520161308951427,4080520161308955540,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608059022179086
C00027466,NRSC,2016,48,201608109022187445,24,1093267,ACQUIRE DIGITAL,,,,512A EAST IRIS DR,,NASHVILLE,TN,37204,DIGITAL MEDIA PLACEMENT,2016-08-05 00:00:00,2016-08-09 00:00:00,41391.60,669951.69,,,O,,,S6OH00254,"THEODORE, STRICKLAND",,STRICKLAND,,THEODORE,,S,OH,,,,,,,,,G2016,,"JAY, BANNING",2016-08-10 00:00:00,,,,,,BANNING,,JAY,WFT2016710922-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081020161311891082,4081020161311894723,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608109022187445
C00027466,NRSC,2016,48,201608179022466156,24,1094610,DEL RAY MEDIA,,,,1427 LESLIE AVE.,,ALEXANDRIA,VA,22301,MEDIA PLACEMENT,2016-08-10 00:00:00,2016-08-15 00:00:00,179509.00,427664.60,,,O,,,S8IN00049,"BIRCH, BAYH EVANS III",,BAYH,EVANS,BIRCH,III,S,IN,00,,,,,,,,G2016,,"JAY, BANNING",2016-08-17 00:00:00,,,,,,BANNING,,JAY,WFT20167171146-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081720161312290105,4081720161312294017,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608179022466156
C00027466,NRSC,2016,48,201608179022466157,24,1094610,STRATEGIC MEDIA PLACEMENT,,,,7669 STAGERS LOOP,,DELAWARE,OH,43015,MEDIA PLACEMENT,2016-08-10 00:00:00,2016-08-15 00:00:00,429732.01,1715419.82,,,O,,,S6NH00091,"MARGARET, HASSAN",,HASSAN,,MARGARET,,S,NH,00,,,,,,,,G2016,,"JAY, BANNING",2016-08-17 00:00:00,,,,,,BANNING,,JAY,WFT20167171327-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081720161312290105,4081720161312294023,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608179022466157
C00027466,NRSC,2016,48,201608179022466158,24,1094610,ACQUIRE DIGITAL,,,,512A EAST IRIS DR,,NASHVILLE,TN,37204,DIGITAL MEDIA PLACEMENT,2016-08-11 00:00:00,2016-08-15 00:00:00,37501.33,1715419.82,,,O,,,S6NH00091,"MARGARET, HASSAN",,HASSAN,,MARGARET,,S,NH,00,,,,,,,,G2016,,"JAY, BANNING",2016-08-17 00:00:00,,,,,,BANNING,,JAY,WFT20167171335-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081720161312290105,4081720161312294025,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608179022466158
C00027466,NRSC,2016,48,201608179022466162,24,1094610,ACQUIRE DIGITAL,,,,512A EAST IRIS DR,,NASHVILLE,TN,37204,DIGITAL MEDIA PLACEMENT,2016-08-11 00:00:00,2016-08-15 00:00:00,18375.00,1581890.66,,,O,,,S6NV00200,"CATHERINE, MASTO CORTEZ",,MASTO,CORTEZ,CATHERINE,,S,NV,00,,,,,,,,G2016,,"JAY, BANNING",2016-08-17 00:00:00,,,,,,BANNING,,JAY,WFT20167171344-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081720161312290105,4081720161312294041,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608179022466162
C00027466,NRSC,2016,48,201608179022466163,24,1094610,STRATEGIC MEDIA PLACEMENT,,,,7669 STAGERS LOOP,,DELAWARE,OH,43015,MEDIA PLACEMENT,2016-08-10 00:00:00,2016-08-15 00:00:00,501337.42,1215545.27,,,O,,,S6OH00254,"THEODORE, STRICKLAND",,STRICKLAND,,THEODORE,,S,OH,00,,,,,,,,G2016,,"JAY, BANNING",2016-08-17 00:00:00,,,,,,BANNING,,JAY,WFT20167171347-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081720161312290105,4081720161312294045,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608179022466163
C00027466,NRSC,2016,48,201608179022466165,24,1094610,ACQUIRE DIGITAL,,,,512A EAST IRIS DR,,NASHVILLE,TN,37204,DIGITAL MEDIA PLACEMENT,2016-08-11 00:00:00,2016-08-15 00:00:00,42022.23,827552.94,,,O,,,S6PA00266,"KATHLEEN, MCGINTY ALANA",,MCGINTY,ALANA,KATHLEEN,,S,PA,00,,,,,,,,G2016,,"JAY, BANNING",2016-08-17 00:00:00,,,,,,BANNING,,JAY,WFT20167171351-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081720161312290105,4081720161312294053,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608179022466165
C00027466,NRSC,2016,48,201608129022241401,24,1093734,DEL RAY MEDIA,,,,1427 LESLIE AVE.,,ALEXANDRIA,VA,22301,MEDIA PRODUCTION,2016-08-10 00:00:00,2016-08-12 00:00:00,25000.00,1073048.62,,,O,,,S6NV00200,"CATHERINE, MASTO CORTEZ",,MASTO,CORTEZ,CATHERINE,,S,NV,,,,,,,,,G2016,,"JAY, BANNING",2016-08-12 00:00:00,,,,,,BANNING,,JAY,WFT20167121449-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081220161312075370,4081220161312079518,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608129022241401
C00027466,NRSC,2016,48,201608199022582788,24,1095892,STRATEGIC MEDIA PLACEMENT,,,,7669 STAGERS LOOP,,DELAWARE,OH,43015,MEDIA PRODUCTION,2016-08-17 00:00:00,2016-08-18 00:00:00,24479.00,1240024.27,,,O,,,S6OH00254,"THEODORE, STRICKLAND",,STRICKLAND,,THEODORE,,S,OH,00,,,,,,,,G2016,,"JAY, BANNING",2016-08-19 00:00:00,,,,,,BANNING,,JAY,WFT20167191640-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081920161313050007,4081920161313057084,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608199022582788
C00027466,NRSC,2016,48,201609079028052702,24,1098031,STRATEGIC MEDIA PLACEMENT,,,,7669 STAGERS LOOP,,DELAWARE,OH,43015,MEDIA PLACEMENT,2016-09-01 00:00:00,2016-09-05 00:00:00,471011.00,3380073.57,,,O,,,S6NH00091,"MARGARET, HASSAN",,HASSAN,,MARGARET,,S,NH,00,,,,,,,,G2016,,"JAY, BANNING",2016-09-07 00:00:00,,,,,,BANNING,,JAY,WFT2016871037-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4090720161316856666,4090720161316859921,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609079028052702
C00027466,NRSC,2016,48,201609079028052705,24,1098031,STRATEGIC MEDIA PLACEMENT,,,,7669 STAGERS LOOP,,DELAWARE,OH,43015,MEDIA PLACEMENT,2016-09-05 00:00:00,2016-09-05 00:00:00,468980.00,2266080.28,,,O,,,S6PA00266,"KATHLEEN, MCGINTY ALANA",,MCGINTY,ALANA,KATHLEEN,,S,PA,00,,,,,,,,G2016,,"JAY, BANNING",2016-09-07 00:00:00,,,,,,BANNING,,JAY,WFT2016871056-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4090720161316856666,4090720161316859933,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609079028052705
C00027466,NRSC,2016,48,201609079028052705,24,1098031,STRATEGIC MEDIA PLACEMENT,,,,7669 STAGERS LOOP,,DELAWARE,OH,43015,MEDIA PLACEMENT,2016-09-01 00:00:00,2016-09-05 00:00:00,582910.00,2886496.27,,,O,,,S6OH00254,"THEODORE, STRICKLAND",,STRICKLAND,,THEODORE,,S,OH,00,,,,,,,,G2016,,"JAY, BANNING",2016-09-07 00:00:00,,,,,,BANNING,,JAY,WFT2016871054-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4090720161316856666,4090720161316859935,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609079028052705
C00027466,NRSC,2016,48,201608299023756472,24,1097295,DEL RAY MEDIA,,,,1427 LESLIE AVE.,,ALEXANDRIA,VA,22301,DIGITAL MEDIA PRODUCTION,2016-08-26 00:00:00,2016-08-27 00:00:00,10000.00,2264131.69,,,O,,,S6NV00200,"CATHERINE, MASTO CORTEZ",,MASTO,CORTEZ,CATHERINE,,S,NV,,,,,,,,,G2016,,"JAY, BANNING",2016-08-29 00:00:00,,,,,,BANNING,,JAY,WFT2016729954-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4082920161315984301,4082920161315986580,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608299023756472
C00027466,NRSC,2016,48,201608299023756473,24,1097295,STRATEGIC MEDIA PLACEMENT,,,,7669 STAGERS LOOP,,DELAWARE,OH,43015,MEDIA PRODUCTION,2016-08-26 00:00:00,2016-08-27 00:00:00,24750.00,1328120.28,,,O,,,S6PA00266,"KATHLEEN, MCGINTY ALANA",,MCGINTY,ALANA,KATHLEEN,,S,PA,,,,,,,,,G2016,,"JAY, BANNING",2016-08-29 00:00:00,,,,,,BANNING,,JAY,WFT2016729959-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4082920161315984301,4082920161315986582,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608299023756473
C00027466,NRSC,2016,48,201609099030754605,24,1098311,STRATEGIC MEDIA PLACEMENT,,,,7669 STAGERS LOOP,,DELAWARE,OH,43015,MEDIA PLACEMENT,2016-09-01 00:00:00,2016-09-07 00:00:00,784324.00,834324.00,,,O,,,S6FL00319,"PATRICK, MURPHY ERIN",,MURPHY,ERIN,PATRICK,,S,FL,00,,,,,,,,G2016,,"JAY, BANNING",2016-09-09 00:00:00,,,,,,BANNING,,JAY,WFT201689950-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4090920161316955864,4090920161316964789,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609099030754605
