committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,cand_office_state,cand_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,election_type,election_type_full,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C00489799,PLANNED PARENTHOOD VOTES,2016,48,201604209012608529,24,1065739,SKDKNICKERBOCKER LLC,,,,1150 18TH STREET NW/STE. 800,,WASHINGTON,DC,20036,PRODUCTION FEES:  TELEVISION ADVERSEMENT,2016-04-19 00:00:00,2016-04-19 00:00:00,16794.22,359969.22,004,Advertising Expenses ,O,,,S0NH00235,"AYOTTE, KELLY",,KELLY,,AYOTTE,,S,NH,,C00489799,,,,,,,P2016,REPUBLICAN PRIMARY,"SCHIFELING, DEIRDRE",2016-04-20 00:00:00,,,,,,DEIRDRE,,SCHIFELING,B599463,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4042020161283554242,4042020161283560267,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201604209012608529
C00489799,PLANNED PARENTHOOD VOTES,2016,48,201604209012608529,24,1065739,WATERFRONT STRATEGIES,,,,3050 K STREET/STE. 100,,WASHINGTON,DC,20007,MEDIA BUY:  TELEVISION ADVERTISEMENT,2016-04-19 00:00:00,2016-04-19 00:00:00,343175.00,359969.22,004,Advertising Expenses ,O,,,S0NH00235,"AYOTTE, KELLY",,KELLY,,AYOTTE,,S,NH,,C00489799,,,,,,,P2016,REPUBLICAN PRIMARY,"SCHIFELING, DEIRDRE",2016-04-20 00:00:00,,,,,,DEIRDRE,,SCHIFELING,B599464,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4042020161283554242,4042020161283560269,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201604209012608529
C00489799,PLANNED PARENTHOOD VOTES,2016,48,201605119015430706,24,1071546,COMMUNITY OUTREACH GROUP LLC,,,,1110 VERMONT AVE N.W. #300,,WASHINGTON,DC,20005,PERSUASION CANVASSES-ESTIMATED COSTS,2016-05-09 00:00:00,2016-05-09 00:00:00,151500.00,151500.00,004,Advertising Expenses ,O,,,S0OH00133,"PORTMAN, ROB",,ROB,,PORTMAN,,S,OH,,C00489799,,,,,,,G2016,,"SCHIFELING, DEIRDRE",2016-05-11 00:00:00,,,,,,DEIRDRE,,SCHIFELING,B540177,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4051120161292482214,4051120161292487270,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201605119015430706
C00489799,PLANNED PARENTHOOD VOTES,2016,48,201605119015430706,24,1071546,COMMUNITY OUTREACH GROUP LLC,,,,1110 VERMONT AVE N.W. #300,,WASHINGTON,DC,20005,PERSUASION CANVASSES-ESTIMATED COSTS,2016-05-09 00:00:00,2016-05-09 00:00:00,151500.00,151500.00,004,Advertising Expenses ,S,,,S6OH00254,"STRICKLAND, TED",,TED,,STRICKLAND,,S,OH,,C00489799,,,,,,,G2016,,"SCHIFELING, DEIRDRE",2016-05-11 00:00:00,,,,,,DEIRDRE,,SCHIFELING,B601194,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4051120161292482214,4051120161292487272,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201605119015430706
C00489799,PLANNED PARENTHOOD VOTES,2016,24,201606039017469514,24,1076037,SCREEN STRATEGIES MEDIA,,,,"11150 FAIRFAX BLVD, STE 550",,FAIRFAX,VA,22030,RADIO AD BUY/ESTIMATED COST,2016-06-02 00:00:00,2016-06-02 00:00:00,15391.20,74892.26,004,Advertising Expenses ,S,,,S6NV00200,"CORTEZ-MASTO, CATHERINE",,CATHERINE,,CORTEZ-MASTO,,S,NV,,C00489799,,,,,,,P2016,,"SCHIFELING, DEIRDRE",2016-06-03 00:00:00,,,,,,DEIRDRE,,SCHIFELING,B604483,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4060420161294493180,4060420161294498914,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201606039017469514
C00489799,PLANNED PARENTHOOD VOTES,2016,24,201606039017469515,24,1076037,76 WORDS,,,,"1806 VERNON STREET, STE. #100",,WASHINGTON,DC,20009,RADIO AD PRODUCTION/ESTIMATED COST,2016-06-02 00:00:00,2016-06-02 00:00:00,3847.16,74892.26,004,Advertising Expenses ,O,,,S6NV00218,"HECK, JOSEPH",,JOSEPH,,HECK,,S,NV,,C00489799,,,,,,,P2016,,"SCHIFELING, DEIRDRE",2016-06-03 00:00:00,,,,,,DEIRDRE,,SCHIFELING,B604485,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4060420161294493180,4060420161294498918,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201606039017469515
C00489799,PLANNED PARENTHOOD VOTES,2016,24,201606039017469515,24,1076037,SCREEN STRATEGIES MEDIA,,,,"11150 FAIRFAX BLVD, STE 550",,FAIRFAX,VA,22030,RADIO AD BUY/ESTIMATED COST,2016-06-02 00:00:00,2016-06-02 00:00:00,54568.80,74892.26,004,Advertising Expenses ,O,,,S6NV00218,"HECK, JOSEPH",,JOSEPH,,HECK,,S,NV,,C00489799,,,,,,,P2016,,"SCHIFELING, DEIRDRE",2016-06-03 00:00:00,,,,,,DEIRDRE,,SCHIFELING,B604482,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4060420161294493180,4060420161294498920,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201606039017469515
C00489799,PLANNED PARENTHOOD VOTES,2016,48,201606239020093354,24,1079947,BULLY PULPIT INTERACTIVE,,,,1140 CONNECTICUT AVE NW #800,,WASHINGTON,DC,20036,DIGITAL AD,2016-06-23 00:00:00,2016-06-23 00:00:00,266000.00,266000.00,004,Advertising Expenses ,O,,,S4PA00121,"TOOMEY, PAT",,PAT,,TOOMEY,,S,PA,,C00489799,,,,,,,G2016,,"SCHIFELING, DEIRDRE",2016-06-23 00:00:00,,,,,,DEIRDRE,,SCHIFELING,B617913,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4062320161300062581,4062320161300068969,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201606239020093354
C00489799,PLANNED PARENTHOOD VOTES,2016,48,201607219021932259,24,1089925,ITZAMNA TRANSLATIONS COMPANY,,,,P.O. BOX 1015,,GLENDALE,AZ,85311,TRANSLATION SERVICES,2016-06-06 00:00:00,2016-06-06 00:00:00,19.98,17255.26,004,Advertising Expenses ,S,,,S6NV00200,"CORTEZ-MASTO, CATHERINE",,CATHERINE,,CORTEZ-MASTO,,S,NV,,C00489799,,,,,,,G2016,,"SCHIFELING, DEIRDRE",2016-07-21 00:00:00,,,,,,DEIRDRE,,SCHIFELING,B620252,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4072120161306912452,4072120161306918136,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201607219021932259
C00489799,PLANNED PARENTHOOD VOTES,2016,48,201607219021932261,24,1089925,PLANNED PARENTHOOD ACTION FUND INC.,,,,"123 WILLIAM ST, 10TH FLOOR",,NEW YORK,DC,10038,PAYMENT FOR EVENT TICKETS-ESTIMATED COSTS,2016-07-20 00:00:00,2016-07-20 00:00:00,35.00,17255.26,003,Solicitation and Fundraising Expenses ,O,,,S6NV00218,"HECK, JOSEPH",,JOSEPH,,HECK,,S,NV,,C00489799,,,,,,,G2016,,"SCHIFELING, DEIRDRE",2016-07-21 00:00:00,,,,,,DEIRDRE,,SCHIFELING,B620467,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4072120161306912452,4072120161306918146,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201607219021932261
