committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,cand_office_state,cand_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,election_type,election_type_full,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C00565689,PROSPERITY FOR PENNSYLVANIA INC,2016,48,201609239032135416,24,1101215,"MENTZER MEDIA SERVICES, INC.",,,,219 W PENNSYLVANIA AVE,SUITE 250,TOWSON,MD,21204,BROADCAST MEDIA PLACEMENT,2016-09-21 00:00:00,2016-09-22 00:00:00,800000.00,1066403.80,,,O,,,S6PA00266,"MCGINTY, KATHLEEN ALANA",,KATHLEEN,ALANA,MCGINTY,,S,PA,,,,,,,,,G2016,,"DION, MARK",2016-09-23 00:00:00,,,,,,MARK,,DION,1105,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4092320161323723497,4092320161323729768,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609239032135416
C00565689,PROSPERITY FOR PENNSYLVANIA INC,2016,48,201609239032135416,24,1101215,REVOLUTION MEDIA GROUP,,,,1020 PRINCESS STREET,,ALEXANDRIA,VA,22314,DIGITAL MEDIA PLACEMENT AND PRODUCTION,2016-09-22 00:00:00,2016-09-22 00:00:00,232957.50,1066403.80,,,O,,,S6PA00266,"MCGINTY, KATHLEEN ALANA",,KATHLEEN,ALANA,MCGINTY,,S,PA,,,,,,,,,G2016,,"DION, MARK",2016-09-23 00:00:00,,,,,,MARK,,DION,1108,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4092320161323723497,4092320161323729770,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609239032135416
C00565689,PROSPERITY FOR PENNSYLVANIA INC,2016,48,201609239032135417,24,1101215,REVOLUTION MEDIA GROUP,,,,1020 PRINCESS STREET,,ALEXANDRIA,VA,22314,WEBSITE DEVELOPMENT,2016-09-23 00:00:00,2016-09-22 00:00:00,9195.00,1066403.80,,,O,,,S6PA00266,"MCGINTY, KATHLEEN ALANA",,KATHLEEN,ALANA,MCGINTY,,S,PA,,,,,,,,,G2016,,"DION, MARK",2016-09-23 00:00:00,,,,,,MARK,,DION,1106,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4092320161323723497,4092320161323729772,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609239032135417
C00565689,PROSPERITY FOR PENNSYLVANIA INC,2016,48,201609239032135417,24,1101215,REVOLUTION MEDIA GROUP,,,,1020 PRINCESS STREET,,ALEXANDRIA,VA,22314,TV AD PRODUCTION COSTS,2016-09-23 00:00:00,2016-09-22 00:00:00,14601.30,1066403.80,,,O,,,S6PA00266,"MCGINTY, KATHLEEN ALANA",,KATHLEEN,ALANA,MCGINTY,,S,PA,,,,,,,,,G2016,,"DION, MARK",2016-09-23 00:00:00,,,,,,MARK,,DION,1107,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4092320161323723497,4092320161323729774,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609239032135417
C00565689,PROSPERITY FOR PENNSYLVANIA INC,2016,48,201609239032135418,24,1101215,REVOLUTION MEDIA GROUP,,,,1020 PRINCESS STREET,,ALEXANDRIA,VA,22314,WEBSITE DEVELOPMENT,2016-09-23 00:00:00,2016-09-22 00:00:00,9650.00,1066403.80,,,S,,,S4PA00121,"TOOMEY, PATRICK JOSEPH",,PATRICK,JOSEPH,TOOMEY,,S,PA,,,,,,,,,G2016,,"DION, MARK",2016-09-23 00:00:00,,,,,,MARK,,DION,1109,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4092320161323723497,4092320161323729776,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609239032135418
C00565689,PROSPERITY FOR PENNSYLVANIA INC,2016,48,201610049032164171,24,1102256,REVOLUTION MEDIA GROUP,,,,1020 PRINCESS STREET,,ALEXANDRIA,VA,22314,DIGITAL MEDIA PLACEMENT AND PRODUCTION,2016-10-03 00:00:00,2016-10-03 00:00:00,200865.00,1267268.80,,,O,,,S6PA00266,"MCGINTY, KATHLEEN ALANA",,KATHLEEN,ALANA,MCGINTY,,S,PA,,,,,,,,,G2016,,"DION, MARK",2016-10-04 00:00:00,,,,,,MARK,,DION,1107,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4100420161340200077,4100420161340206640,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610049032164171
C00565689,PROSPERITY FOR PENNSYLVANIA INC,2016,48,201610199033061090,24,1110388,REVOLUTION MEDIA GROUP,,,,1020 PRINCESS STREET,,ALEXANDRIA,VA,22314,DIGITAL AD PRODUCTION,2016-10-18 00:00:00,2016-10-18 00:00:00,8723.00,1275991.80,,,O,,,S6PA00266,"MCGINTY, KATHLEEN ALANA",,KATHLEEN,ALANA,MCGINTY,,S,PA,,,,,,,,,G2016,,"DION, MARK",2016-10-19 00:00:00,,,,,,MARK,,DION,1130,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4101920161344296361,4101920161344304596,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610199033061090
C00565689,PROSPERITY FOR PENNSYLVANIA INC,2016,24,201610219034523741,24,1112749,"MENTZER MEDIA SERVICES, INC.",,,,219 W PENNSYLVANIA AVE,SUITE 250,TOWSON,MD,21204,BROADCAST MEDIA PLACEMENT,2016-10-21 00:00:00,2016-10-25 00:00:00,563000.00,1893138.05,,,O,,,S6PA00266,"MCGINTY, KATHLEEN ALANA",,KATHLEEN,ALANA,MCGINTY,,S,PA,,,,,,,,,G2016,,"DION, MARK",2016-10-21 00:00:00,,,,,,MARK,,DION,1132,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102120161344422071,4102120161344436034,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610219034523741
C00565689,PROSPERITY FOR PENNSYLVANIA INC,2016,24,201610219034523741,24,1112749,REVOLUTION MEDIA GROUP,,,,1020 PRINCESS STREET,,ALEXANDRIA,VA,22314,DIGITAL AD PLACEMENT AND PRODUCTION,2016-10-21 00:00:00,2016-10-21 00:00:00,54146.25,1893138.05,,,O,,,S6PA00266,"MCGINTY, KATHLEEN ALANA",,KATHLEEN,ALANA,MCGINTY,,S,PA,,,,,,,,,G2016,,"DION, MARK",2016-10-21 00:00:00,,,,,,MARK,,DION,1133,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102120161344422071,4102120161344436036,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610219034523741
C00565689,PROSPERITY FOR PENNSYLVANIA INC,2016,24,201610269034630585,24,1116706,"MENTZER MEDIA SERVICES, INC.",,,,219 W PENNSYLVANIA AVE,SUITE 250,TOWSON,MD,21204,BROADCAST TV PLACEMENT,2016-10-26 00:00:00,2016-10-27 00:00:00,1036346.00,2962293.80,,,O,,,S6PA00266,"MCGINTY, KATHLEEN ALANA",,KATHLEEN,ALANA,MCGINTY,,S,PA,,,,,,,,,G2016,,"DION, MARK",2016-10-26 00:00:00,,,,,,MARK,,DION,1150,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102720161345535168,4102720161345547777,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610269034630585
