committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,cand_office_state,cand_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,election_type,election_type_full,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C00571703,SENATE LEADERSHIP FUND,2016,48,201604069012231040,24,1058478,DDC,,,,PO BOX 34456,,WEST BETHESDA,MD,20817,ONLINE ADVERTISING,2016-04-05 00:00:00,2016-04-05 00:00:00,30000.00,239246.50,,,S,,,S6IN00191,"YOUNG, TODD",,TODD,,YOUNG,,S,IN,,,,,,,,,P2016,,"CROSBY, CALEB",2016-04-06 00:00:00,,,,,,CALEB,,CROSBY,SE.3,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4040620161282560123,4040620161282578175,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201604069012231040
C00571703,SENATE LEADERSHIP FUND,2016,24,201604239015354209,24,1070068,MENTZER MEDIA,,,,210 W. PENNSYLVANIA AVE STE 250,,TOWSON,MD,21204,RADIO PLACEMENT,2016-04-20 00:00:00,2016-04-23 00:00:00,48400.00,531202.86,,,S,,,S6IN00191,"YOUNG, TODD",,TODD,,YOUNG,,S,IN,,,,,,,,,P2016,,"CROSBY, CALEB",2016-04-23 00:00:00,,,,,,CALEB,,CROSBY,SE.1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4042420161284225639,4042420161284225672,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201604239015354209
C00571703,SENATE LEADERSHIP FUND,2016,48,201607159020559841,24,1086141,ARENA ONLINE,,,,1780 WEST SEQUOIA VISTA CIRCLE,,SALT LAKE CITY,UT,84104,DIGITAL ADS,2016-07-15 00:00:00,2016-07-15 00:00:00,3586.00,1470593.48,,,O,,,S6FL00319,"MURPHY, PATRICK",,PATRICK,,MURPHY,,S,FL,,,,,,,,,P2016,,"CROSBY, CALEB",2016-07-15 00:00:00,,,,,,CALEB,,CROSBY,SE.1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4071520161306645885,4071520161306654799,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201607159020559841
C00571703,SENATE LEADERSHIP FUND,2016,48,201607159020559841,24,1086141,DMM MEDIA,,,,1911 N. FORT MYER DRIVE STE 400,,ARLINGTON,VA,22209,TV AD PRODUCTION,2016-07-15 00:00:00,2016-07-15 00:00:00,14279.98,1470593.48,,,O,,,S6FL00319,"MURPHY, PATRICK",,PATRICK,,MURPHY,,S,FL,,,,,,,,,P2016,,"CROSBY, CALEB",2016-07-15 00:00:00,,,,,,CALEB,,CROSBY,SE.2,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4071520161306645885,4071520161306654801,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201607159020559841
C00571703,SENATE LEADERSHIP FUND,2016,48,201607159020559842,24,1086141,MAIN STREET MEDIA GROUP,,,,P.O. BOX 25093,,ALEXANDRIA,VA,22313,TV / MEDIA PLACEMENT,2016-07-13 00:00:00,2016-07-15 00:00:00,1452727.50,1470593.48,,,O,,,S6FL00319,"MURPHY, PATRICK",,PATRICK,,MURPHY,,S,FL,,,,,,,,,P2016,,"CROSBY, CALEB",2016-07-15 00:00:00,,,,,,CALEB,,CROSBY,SE.3,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4071520161306645885,4071520161306654803,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201607159020559842
C00571703,SENATE LEADERSHIP FUND,2016,48,201608129022241768,24,1093752,MENTZER MEDIA SERVICES INC,,,,600 FAIRMONT AVE SUITE 306,,TOWSON,MD,21286, TV / MEDIA PLACEMENT,2016-08-10 00:00:00,2016-08-12 00:00:00,876700.00,890268.72,,,O,,,S8IN00049,"BAYH, EVAN",,EVAN,,BAYH,,S,IN,,,,,,,,,G2016,,"CROSBY, CALEB",2016-08-12 00:00:00,,,,,,CALEB,,CROSBY,SE.1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081220161312075372,4081220161312079524,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608129022241768
C00571703,SENATE LEADERSHIP FUND,2016,24,201608269023753127,24,1097133,TARGETED VICTORY,,,,1033 NORTH FAIRFAX ST,SUITE 400,ALEXANDRIA,VA,22314,ONLINE ADVERTISING,2016-08-26 00:00:00,2016-08-26 00:00:00,30000.00,34000.00,,,O,,,S6NH00091,"HASSAN, MARGARET WOOD",,MARGARET,WOOD,HASSAN,,S,NH,,,,,,,,,P2016,,"CROSBY, CALEB",2016-08-26 00:00:00,,,,,,CALEB,,CROSBY,SE.1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4082620161313604145,4082620161313609589,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608269023753127
C00571703,SENATE LEADERSHIP FUND,2016,48,201604069012231039,24,1058478,MENTZER MEDIA,,,,210 W. PENNSYLVANIA AVE STE 250,,TOWSON,MD,21204,TV / MEDIA PLACEMENT,2016-04-04 00:00:00,2016-04-06 00:00:00,195360.00,239246.50,,,S,,,S6IN00191,"YOUNG, TODD",,TODD,,YOUNG,,S,IN,,,,,,,,,P2016,,"CROSBY, CALEB",2016-04-06 00:00:00,,,,,,CALEB,,CROSBY,SE.1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4040620161282560123,4040620161282578171,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201604069012231039
C00571703,SENATE LEADERSHIP FUND,2016,48,201604069012231039,24,1058478,DMM MEDIA,,,,1911 N. FORT MYER DRIVE STE 400,,ARLINGTON,VA,22209,WEB / TV AD PRODUCTION,2016-04-05 00:00:00,2016-04-05 00:00:00,13886.50,239246.50,,,S,,,S6IN00191,"YOUNG, TODD",,TODD,,YOUNG,,S,IN,,,,,,,,,P2016,,"CROSBY, CALEB",2016-04-06 00:00:00,,,,,,CALEB,,CROSBY,SE.2,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4040620161282560123,4040620161282578173,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201604069012231039
C00571703,SENATE LEADERSHIP FUND,2016,24,201604239015354209,24,1070068,DMM MEDIA,,,,1911 N. FORT MYER DRIVE STE 400,,ARLINGTON,VA,22209,RADIO PRODUCTION,2016-04-22 00:00:00,2016-04-23 00:00:00,2932.55,531202.86,,,S,,,S6IN00191,"YOUNG, TODD",,TODD,,YOUNG,,S,IN,,,,,,,,,P2016,,"CROSBY, CALEB",2016-04-23 00:00:00,,,,,,CALEB,,CROSBY,SE.2,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4042420161284225639,4042420161284225673,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201604239015354209
