committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,cand_office_state,cand_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,election_type,election_type_full,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C00484642,SENATE MAJORITY PAC,2015,48,201508149000829942,24,1021601,SKDKNICKERBOCKER,,,,1150 18TH ST NW,STE 800,WASHINGTON,DC,200363845,MEDIA PRODUCTION COSTS - ESTIMATE,2015-08-12 00:00:00,2015-08-12 00:00:00,15375.74,286003.46,,,O,,,S0NH00235,"AYOTTE, KELLY",,KELLY,,AYOTTE,,S,NH,,,,,,,,,P2016,,"LAMBE, REBECCA",2015-08-14 00:00:00,,,,,,REBECCA,,LAMBE,VN7GB9ZGGW9,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081420151248570772,4081420151248571064,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201508149000829942
C00484642,SENATE MAJORITY PAC,2015,48,201509049001614311,24,1024090,SKDKNICKERBOCKER,,,,1150 18TH ST NW,STE 800,WASHINGTON,DC,200363845,MEDIA PRODUCTION COSTS - ESTIMATE,2015-09-02 00:00:00,2015-09-02 00:00:00,26352.17,598795.63,,,O,,,S0NH00235,"AYOTTE, KELLY",,KELLY,,AYOTTE,,S,NH,,,,,,,,,P2016,,"LAMBE, REBECCA",2015-09-04 00:00:00,,,,,,REBECCA,,LAMBE,VN7GB9ZJSV6,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4090620151249561116,4090620151249561557,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201509049001614311
C00484642,SENATE MAJORITY PAC,2015,48,201509049001614311,24,1024090,WATERFRONT STRATEGIES,,,,3050 K ST NW,STE 100,WASHINGTON,DC,200075108,MEDIA BUY,2015-09-02 00:00:00,2015-09-02 00:00:00,286440.00,598795.63,,,O,,,S0NH00235,"AYOTTE, KELLY",,KELLY,,AYOTTE,,S,NH,,,,,,,,,P2016,,"LAMBE, REBECCA",2015-09-04 00:00:00,,,,,,REBECCA,,LAMBE,VN7GB9ZJS03,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4090620151249561116,4090620151249561559,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201509049001614311
C00484642,SENATE MAJORITY PAC,2016,48,201603179009776971,24,1055923,WATERFRONT STRATEGIES,,,,3050 K ST NW,STE 100,WASHINGTON,DC,200075108,MEDIA BUY,2016-03-15 00:00:00,2016-03-15 00:00:00,401556.00,707745.31,,,O,,,S0NH00235,"AYOTTE, KELLY",,KELLY,,AYOTTE,,S,NH,,,,,,,,,P2016,,"LAMBE, REBECCA",2016-03-17 00:00:00,,,,,,REBECCA,,LAMBE,VN7GBA0YP06,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4031720161276469783,4031720161276472770,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201603179009776971
C00484642,SENATE MAJORITY PAC,2016,48,201603179009776970,24,1055923,SKDKNICKERBOCKER,,,,1150 18TH ST NW,STE 800,WASHINGTON,DC,200363845,MEDIA PRODUCTION COSTS - ESTIMATE,2016-03-15 00:00:00,2016-03-15 00:00:00,1427.63,707745.31,,,O,,,S0NH00235,"AYOTTE, KELLY",,KELLY,,AYOTTE,,S,NH,,,,,,,,,P2016,,"LAMBE, REBECCA",2016-03-17 00:00:00,,,,,,REBECCA,,LAMBE,VN7GBA0YP13,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4031720161276469783,4031720161276472769,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201603179009776970
C00484642,SENATE MAJORITY PAC,2016,48,201603119009735334,24,1054765,SKDKNICKERBOCKER,,,,1150 18TH ST NW,STE 800,WASHINGTON,DC,200363845,MEDIA PRODUCTION COSTS - ESTIMATE,2016-03-09 00:00:00,2016-03-09 00:00:00,13864.68,239333.68,,,O,,,S0NH00235,"AYOTTE, KELLY",,KELLY,,AYOTTE,,S,NH,,,,,,,,,P2016,,"LAMBE, REBECCA",2016-03-11 00:00:00,,,,,,REBECCA,,LAMBE,VN7GBA0Y8P8,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4031120161276376484,4031120161276377127,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201603119009735334
C00484642,SENATE MAJORITY PAC,2016,48,201603119009735334,24,1054765,WATERFRONT STRATEGIES,,,,3050 K ST NW,STE 100,WASHINGTON,DC,200075108,MEDIA BUY,2016-03-09 00:00:00,2016-03-09 00:00:00,225469.00,239333.68,,,O,,,S0NH00235,"AYOTTE, KELLY",,KELLY,,AYOTTE,,S,NH,,,,,,,,,P2016,,"LAMBE, REBECCA",2016-03-11 00:00:00,,,,,,REBECCA,,LAMBE,VN7GBA0Y8N0,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4031120161276376484,4031120161276377128,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201603119009735334
C00484642,SENATE MAJORITY PAC,2016,48,201603259012124901,24,1057475,WATERFRONT STRATEGIES,,,,3050 K ST NW,STE 100,WASHINGTON,DC,200075108,MEDIA BUY,2016-03-25 00:00:00,2016-03-25 00:00:00,339290.00,1062836.24,,,O,,,S0NH00235,"AYOTTE, KELLY",,KELLY,,AYOTTE,,S,NH,,,,,,,,,P2016,,"LAMBE, REBECCA",2016-03-25 00:00:00,,,,,,REBECCA,,LAMBE,VN7GBA0ZK22,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4032620161277063675,4032620161277063946,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201603259012124901
C00484642,SENATE MAJORITY PAC,2016,48,201604289015361827,24,1070443,BLUEPRINT INTERACTIVE,,,,1155 CONNECTICUT AVE NW,STE 601,WASHINGTON,DC,200364306,ONLINE ADVERTISING - ESTIMATE,2016-04-19 00:00:00,2016-04-19 00:00:00,858.00,1768407.28,,,O,,,S0OH00133,"PORTMAN, ROB",,ROB,,PORTMAN,,S,OH,,,,,,,,,G2016,,"LAMBE, REBECCA",2016-04-28 00:00:00,,,,,,REBECCA,,LAMBE,VN7GBA14M08,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4042820161284329378,4042820161284342331,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201604289015361827
C00484642,SENATE MAJORITY PAC,2016,48,201604289015361827,24,1070443,"PRECISION NETWORK, LLC",,,,1140 CONNECTICUT AVE NW,STE 800,WASHINGTON,DC,200364010,ONLINE ADVERTISING - ESTIMATE,2016-04-26 00:00:00,2016-04-26 00:00:00,45458.37,1768407.28,,,O,,,S0OH00133,"PORTMAN, ROB",,ROB,,PORTMAN,,S,OH,,,,,,,,,G2016,,"LAMBE, REBECCA",2016-04-28 00:00:00,,,,,,REBECCA,,LAMBE,VN7GBA14M15,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4042820161284329378,4042820161284342333,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201604289015361827
