committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,cand_office_state,cand_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,election_type,election_type_full,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C00418897,VOTEVETS,2016,48,201609169030839877,24,1099503,WATERFRONT STRATEGIES,,,,3050 K ST NW,,WASHINGTON,DC,200075108,MEDIA BUY,2016-09-13 00:00:00,2016-09-15 00:00:00,190957.50,401339.64,004,Advertising Expenses ,O,,,S0MO00183,"BLUNT, ROY",,ROY,,BLUNT,,S,MO,,C00304758,,,,,,,G2016,,"HEGDAHL, RICK",2016-09-16 00:00:00,,,,,,RICK,,HEGDAHL,D649739,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4091620161317199585,4091620161317206804,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609169030839877
C00418897,VOTEVETS,2016,48,201609169030839877,24,1099503,WATERFRONT STRATEGIES,,,,3050 K ST NW,,WASHINGTON,DC,200075108,MEDIA BUY,2016-09-13 00:00:00,2016-09-15 00:00:00,190957.50,401339.64,004,Advertising Expenses ,S,,,S6MO00362,"KANDER, JASON",,JASON,,KANDER,,S,MO,,C00572925,,,,,,,G2016,,"HEGDAHL, RICK",2016-09-16 00:00:00,,,,,,RICK,,HEGDAHL,D649740,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4091620161317199585,4091620161317206806,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609169030839877
C00418897,VOTEVETS,2016,48,201609169030839878,24,1099503,WATERFRONT STRATEGIES,,,,3050 K ST NW,,WASHINGTON,DC,200075108,ESTIMATED COST FOR ADVERTISING PRODUCTION,2016-09-15 00:00:00,2016-09-15 00:00:00,9712.32,401339.64,004,Advertising Expenses ,S,,,S6MO00362,"KANDER, JASON",,JASON,,KANDER,,S,MO,,C00572925,,,,,,,G2016,,"HEGDAHL, RICK",2016-09-16 00:00:00,,,,,,RICK,,HEGDAHL,D650076,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4091620161317199585,4091620161317206808,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609169030839878
C00418897,VOTEVETS,2016,48,201609169030839878,24,1099503,WATERFRONT STRATEGIES,,,,3050 K ST NW,,WASHINGTON,DC,200075108,ESTIMATED COST FOR ADVERTISING PRODUCTION,2016-09-15 00:00:00,2016-09-15 00:00:00,9712.32,401339.64,004,Advertising Expenses ,O,,,S0MO00183,"BLUNT, ROY",,ROY,,BLUNT,,S,MO,,C00304758,,,,,,,G2016,,"HEGDAHL, RICK",2016-09-16 00:00:00,,,,,,RICK,,HEGDAHL,D650078,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4091620161317199585,4091620161317206810,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609169030839878
C00418897,VOTEVETS,2016,48,201609219032063721,24,1101001,GRASSROOTS CAMPAIGNS INC.,,,,PO BOX 120557,,BOSTON,MA,021120557,CANVASSING SERVICES,2016-09-12 00:00:00,2016-09-19 00:00:00,32225.95,36088.45,001,Administrative/Salary/Overhead Expenses ,S,,,S6PA00266,"MCGINTY, KATHLEEN ALANA",,KATHLEEN ALANA,,MCGINTY,,S,PA,,C00582809,,,,,,,G2016,,"HEGDAHL, RICK",2016-09-21 00:00:00,,,,,,RICK,,HEGDAHL,D650485,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4092120161317647660,4092120161317654256,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609219032063721
C00418897,VOTEVETS,2016,48,201609219032063722,24,1101001,GRASSROOTS CAMPAIGNS INC.,,,,PO BOX 120557,,BOSTON,MA,021120557,CANVASSING SERVICES,2016-09-12 00:00:00,2016-09-19 00:00:00,32225.95,37530.95,001,Administrative/Salary/Overhead Expenses ,S,,,S6FL00319,"MURPHY, PATRICK E",,PATRICK E,,MURPHY,,S,FL,,C00493825,,,,,,,G2016,,"HEGDAHL, RICK",2016-09-21 00:00:00,,,,,,RICK,,HEGDAHL,D650487,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4092120161317647660,4092120161317654264,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609219032063722
C00418897,VOTEVETS,2016,48,201609219032063723,24,1101001,MACK SUMNER,,,,2001 N BEAUREGARD ST,,ALEXANDRIA,VA,223111739,PRINTING,2016-09-13 00:00:00,2016-09-19 00:00:00,3862.50,36088.45,006,Campaign Materials,S,,,S6PA00266,"MCGINTY, KATHLEEN ALANA",,KATHLEEN ALANA,,MCGINTY,,S,PA,,C00582809,,,,,,,G2016,,"HEGDAHL, RICK",2016-09-21 00:00:00,,,,,,RICK,,HEGDAHL,D650481,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4092120161317647660,4092120161317654269,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609219032063723
C00418897,VOTEVETS,2016,48,201609219032063724,24,1101001,"MISSION CONTROL, INC.",,,,624 HEBRON AVE,,GLASTONBURY,CT,060332470,PRINTING,2016-09-16 00:00:00,2016-09-19 00:00:00,5305.00,37530.95,006,Campaign Materials,S,,,S6FL00319,"MURPHY, PATRICK E",,PATRICK E,,MURPHY,,S,FL,,C00493825,,,,,,,G2016,,"HEGDAHL, RICK",2016-09-21 00:00:00,,,,,,RICK,,HEGDAHL,D650483,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4092120161317647660,4092120161317654275,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609219032063724
C00418897,VOTEVETS,2016,48,201609239032135354,24,1101202,WATERFRONT STRATEGIES,,,,3050 K ST NW,,WASHINGTON,DC,200075108,MEDIA BUY,2016-09-20 00:00:00,2016-09-21 00:00:00,185330.50,772000.64,004,Advertising Expenses ,O,,,S0MO00183,"BLUNT, ROY",,ROY,,BLUNT,,S,MO,,C00304758,,,,,,,G2016,,"HEGDAHL, RICK",2016-09-23 00:00:00,,,,,,RICK,,HEGDAHL,D650489,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4092320161323723490,4092320161323729676,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609239032135354
C00418897,VOTEVETS,2016,48,201609239032135354,24,1101202,WATERFRONT STRATEGIES,,,,3050 K ST NW,,WASHINGTON,DC,200075108,MEDIA BUY,2016-09-20 00:00:00,2016-09-21 00:00:00,185330.50,772000.64,004,Advertising Expenses ,S,,,S6MO00362,"KANDER, JASON",,JASON,,KANDER,,S,MO,,C00572925,,,,,,,G2016,,"HEGDAHL, RICK",2016-09-23 00:00:00,,,,,,RICK,,HEGDAHL,D650490,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4092320161323723490,4092320161323729678,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609239032135354
C00418897,VOTEVETS,2016,48,201610059032169112,24,1102495,JVA CAMPAIGNS,,,,240 N 5TH ST,,COLUMBUS,OH,432152611,PRINTING - CANVASSING LITERATURE,2016-09-07 00:00:00,2016-10-03 00:00:00,3442.50,90942.50,006,Campaign Materials,S,,,S6OH00254,"STRICKLAND, TED",,TED,,STRICKLAND,,S,OH,,C00573212,,,,,,,G2016,,"HEGDAHL, RICK",2016-10-05 00:00:00,,,,,,RICK,,HEGDAHL,D651168,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4100520161340620880,4100520161340626578,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610059032169112
C00418897,VOTEVETS,2016,48,201610059032169113,24,1102495,GRASSROOTS CAMPAIGNS INC.,,,,PO BOX 120557,,BOSTON,MA,021120557,CANVASSING SERVICES,2016-09-12 00:00:00,2016-10-03 00:00:00,35548.10,90942.50,001,Administrative/Salary/Overhead Expenses ,S,,,S6OH00254,"STRICKLAND, TED",,TED,,STRICKLAND,,S,OH,,C00573212,,,,,,,G2016,,"HEGDAHL, RICK",2016-10-05 00:00:00,,,,,,RICK,,HEGDAHL,D651170,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4100520161340620880,4100520161340626582,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610059032169113
