committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,cand_office_state,cand_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,election_type,election_type_full,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C00473918,WOMEN VOTE!,2016,48,201604139012310094,24,1060537,WATERFRONT STRATEGIES,,,,3050 K ST NW,STE 100,WASHINGTON,DC,200075161,"MEDIA BUY TV - ORIGINALLY REPORTED AS $983,801.00; REVISED TO ACTUAL",2016-04-01 00:00:00,2016-04-05 00:00:00,179332.00,195907.48,004,Advertising Expenses ,S,,,S6PA00266,"MCGINTY, KATHLEEN",,KATHLEEN,,MCGINTY,,S,PA,00,,,,,,,,P2016,,"FINES, CAROLINE",2016-04-05 00:00:00,,,,,,CAROLINE,,FINES,VN7A7A10VT1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4041320161283091552,4041320161283099034,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201604139012310094
C00473918,WOMEN VOTE!,2016,48,201608029022166889,24,1092091,WATERFRONT STRATEGIES,,,,3050 K ST NW,STE 100,WASHINGTON,DC,200075161,MEDIA BUY TV,2016-07-25 00:00:00,2016-08-02 00:00:00,392925.00,1642322.74,004,Advertising Expenses ,O,,,S0NH00235,"AYOTTE, KELLY",,KELLY,,AYOTTE,,S,NH,00,,,,,,,,P2016,,"FINES, CAROLINE",2016-08-02 00:00:00,,,,,,CAROLINE,,FINES,VN7A7A20GQ4,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4080220161307742943,4080220161307750262,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608029022166889
C00473918,WOMEN VOTE!,2016,48,201609099030755483,24,1098333,"THE PIVOT GROUP, INC.",,,,1720 I ST NW,STE 550,WASHINGTON,DC,200063741,MAILHOUSE,2016-09-01 00:00:00,2016-09-09 00:00:00,45756.98,271066.39,004,Advertising Expenses ,O,,,S6NV00218,"HECK, JOE",,JOE,,HECK,,S,NV,00,,,,,,,,G2016,,"FINES, CAROLINE",2016-09-09 00:00:00,,,,,,CAROLINE,,FINES,VN7A7A35AP6,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4090920161316955865,4090920161316964803,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609099030755483
C00473918,WOMEN VOTE!,2016,48,201609069023777349,24,1097964,AMBROSINO MUIR HANSAN CROUNSE,,,,5500 SANSOME STREET,SUITE 404,WASHINGTON,DC,94111,MAILHOUSE,2016-08-31 00:00:00,2016-09-06 00:00:00,119370.00,1451668.29,004,Advertising Expenses ,O,,,S4PA00121,"TOOMEY, PATRICK",,PATRICK,,TOOMEY,,S,PA,00,,,,,,,,G2016,,"FINES, CAROLINE",2016-09-06 00:00:00,,,,,,CAROLINE,,FINES,VN7A7A2Z3V4,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4090620161316848990,4090620161316851823,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609069023777349
C00473918,WOMEN VOTE!,2016,48,201606239020092375,24,1079895,WATERFRONT STRATEGIES,,,,3050 K ST NW,STE 100,WASHINGTON,DC,200075161,MEDIA BUY TV,2016-06-21 00:00:00,2016-06-23 00:00:00,1115958.00,1137672.29,004,Advertising Expenses ,O,,,S4PA00121,"TOOMEY, PATRICK",,PATRICK,,TOOMEY,,S,PA,00,,,,,,,,G2016,,"FINES, CAROLINE",2016-06-23 00:00:00,,,,,,CAROLINE,,FINES,VN7A7A1DTE6,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4062320161300062570,4062320161300068903,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201606239020092375
C00473918,WOMEN VOTE!,2016,48,201604069012230519,24,1058453,"THREE POINT MEDIA, LLC",,,,3000 K ST NW,STE 320,WASHINGTON,DC,200075109,MEDIA PRODUCTION,2016-04-05 00:00:00,2016-04-05 00:00:00,16575.48,1000376.48,004,Advertising Expenses ,S,,,S6PA00266,"MCGINTY, KATHLEEN",,KATHLEEN,,MCGINTY,,S,PA,00,,,,,,,,P2016,,"FINES, CAROLINE",2016-04-05 00:00:00,,,,,,CAROLINE,,FINES,VN7A7A10XV5,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4040620161282560122,4040620161282578167,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201604069012230519
C00473918,WOMEN VOTE!,2016,48,201606239020092375,24,1079895,SHORR JOHNSON MAGNUS,,,,100 N 20TH ST,STE 201,PHILADELPHIA,PA,191031454,MEDIA PRODUCTION,2016-06-23 00:00:00,2016-06-23 00:00:00,21714.29,1137672.29,004,Advertising Expenses ,O,,,S4PA00121,"TOOMEY, PATRICK",,PATRICK,,TOOMEY,,S,PA,00,,,,,,,,G2016,,"FINES, CAROLINE",2016-06-23 00:00:00,,,,,,CAROLINE,,FINES,VN7A7A1DTH0,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4062320161300062570,4062320161300068901,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201606239020092375
C00473918,WOMEN VOTE!,2016,48,201609069023777349,24,1097964,"THE PIVOT GROUP, INC.",,,,1720 I ST NW,STE 550,WASHINGTON,DC,200063741,MAILHOUSE,2016-09-01 00:00:00,2016-09-06 00:00:00,86733.38,225309.41,004,Advertising Expenses ,O,,,S6NV00218,"HECK, JOE",,JOE,,HECK,,S,NV,00,,,,,,,,G2016,,"FINES, CAROLINE",2016-09-06 00:00:00,,,,,,CAROLINE,,FINES,VN7A7A2Z3S8,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4090620161316848990,4090620161316851825,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201609069023777349
C00473918,WOMEN VOTE!,2016,48,201607159020605537,24,1086871,SKDKNICKERBOCKER LLC,,,,1818 N ST NW,STE 450,WASHINGTON,DC,200362473,MEDIA PRODUCTION,2016-07-15 00:00:00,2016-07-15 00:00:00,10916.74,1249397.74,004,Advertising Expenses ,O,,,S0NH00235,"AYOTTE, KELLY",,KELLY,,AYOTTE,,S,NH,00,,,,,,,,P2016,,"FINES, CAROLINE",2016-07-15 00:00:00,,,,,,CAROLINE,,FINES,VN7A7A1QDM3,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4071520161306645899,4071520161306654904,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201607159020605537
C00473918,WOMEN VOTE!,2016,48,201608099022186998,24,1093219,SKDKNICKERBOCKER LLC,,,,1818 N ST NW,STE 450,WASHINGTON,DC,200362473,MEDIA PRODUCTION,2016-08-09 00:00:00,2016-08-09 00:00:00,22190.81,2247856.55,004,Advertising Expenses ,O,,,S0NH00235,"AYOTTE, KELLY",,KELLY,,AYOTTE,,S,NH,00,,,,,,,,P2016,,"FINES, CAROLINE",2016-08-09 00:00:00,,,,,,CAROLINE,,FINES,VN7A7A25MV6,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4080920161309022767,4080920161309026777,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608099022186998
